# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
7.856000000000000E+007;-2.789763235654138E+000;-2.626899092995183E+001;
7.858500000000000E+007;-2.840054060307421E+000;-2.603901465205989E+001;
7.861000000000000E+007;-2.902959189232809E+000;-2.540837939898116E+001;
7.863500000000000E+007;-2.849579485600574E+000;-2.699079493494854E+001;
7.866000000000000E+007;-2.838577950957986E+000;-2.781553493622250E+001;
7.868500000000000E+007;-2.839046760513593E+000;-2.868125182554336E+001;
7.871000000000000E+007;-2.866714596107313E+000;-2.761185353551872E+001;
7.873500000000000E+007;-2.885269254240718E+000;-2.776432889761369E+001;
7.876000000000000E+007;-2.899582240643060E+000;-2.854785370010306E+001;
7.878500000000000E+007;-2.856448247028402E+000;-2.913480058877898E+001;
7.881000000000000E+007;-2.891634776180429E+000;-2.938821033301619E+001;
7.883500000000000E+007;-2.915166098927986E+000;-2.999118047914284E+001;
7.886000000000000E+007;-2.892271530873661E+000;-3.066200724968774E+001;
7.888500000000000E+007;-2.925285708729806E+000;-3.012478743107533E+001;
7.891000000000000E+007;-2.860872744847932E+000;-3.022325545188813E+001;
7.893500000000000E+007;-2.916110224033167E+000;-3.116051289670578E+001;
7.896000000000000E+007;-2.940633555037192E+000;-3.042696410332139E+001;
7.898500000000000E+007;-2.920916675400649E+000;-3.104416249724253E+001;
7.901000000000000E+007;-2.933228523392202E+000;-3.257232801993919E+001;
7.903500000000000E+007;-2.957108928763678E+000;-3.161525599163262E+001;
7.906000000000000E+007;-2.924826828570026E+000;-3.416842314280714E+001;
7.908500000000000E+007;-2.986617692483286E+000;-3.377095263499604E+001;
7.911000000000000E+007;-2.940935789283435E+000;-3.374096012814133E+001;
7.913500000000000E+007;-3.005340943184774E+000;-3.230554745170453E+001;
7.916000000000000E+007;-2.964763296204782E+000;-3.339455263767546E+001;
7.918500000000000E+007;-2.977285847585795E+000;-3.384177176141964E+001;
7.921000000000000E+007;-2.991791194925890E+000;-3.462911296771650E+001;
7.923500000000000E+007;-2.961981977035634E+000;-3.513336875820425E+001;
7.926000000000000E+007;-3.031167480072643E+000;-3.475983082442110E+001;
7.928500000000000E+007;-3.006687351255645E+000;-3.523504363007889E+001;
7.931000000000000E+007;-2.952842342211321E+000;-3.731978007262755E+001;
7.933500000000000E+007;-3.021410938409421E+000;-3.552228057160715E+001;
7.936000000000000E+007;-3.025147527997881E+000;-3.616983930886381E+001;
7.938500000000000E+007;-3.025615789216468E+000;-3.651734516021997E+001;
7.941000000000000E+007;-3.029767874637478E+000;-3.729684974793281E+001;
7.943500000000000E+007;-3.058658818110968E+000;-3.778411521703846E+001;
7.946000000000000E+007;-3.047568770447868E+000;-3.735173729846293E+001;
7.948500000000000E+007;-3.100324449678985E+000;-3.784222479444426E+001;
7.951000000000000E+007;-3.059191880190747E+000;-3.831292409038168E+001;
7.953500000000000E+007;-3.095186067433356E+000;-3.928320117608307E+001;
7.956000000000000E+007;-3.111004258158435E+000;-3.766208803794407E+001;
7.958500000000000E+007;-3.104981272466525E+000;-3.942529713140810E+001;
7.961000000000000E+007;-3.079250407095973E+000;-4.082037399650165E+001;
7.963500000000000E+007;-3.100229899141399E+000;-4.037860793432770E+001;
7.966000000000000E+007;-3.112030777755930E+000;-4.184480348858281E+001;
7.968500000000000E+007;-3.116307162384771E+000;-4.094110412291074E+001;
7.971000000000000E+007;-3.144652161657541E+000;-4.188529836886717E+001;
7.973500000000000E+007;-3.161232025146136E+000;-3.962393006354523E+001;
7.976000000000000E+007;-3.180455711624142E+000;-4.126648979034061E+001;
7.978500000000000E+007;-3.123586771616110E+000;-4.219966120657470E+001;
7.981000000000000E+007;-3.174206145723950E+000;-4.191379966979926E+001;
7.983500000000000E+007;-3.172401787528508E+000;-4.164686355571364E+001;
7.986000000000000E+007;-3.213771784147711E+000;-4.093328442052717E+001;
7.988500000000000E+007;-3.189469757783136E+000;-4.398669608206058E+001;
7.991000000000000E+007;-3.266249828175824E+000;-4.289272441446742E+001;
7.993500000000000E+007;-3.206953385402064E+000;-4.422249755614409E+001;
7.996000000000000E+007;-3.207866460843360E+000;-4.314614196035253E+001;
7.998500000000000E+007;-3.226679492040523E+000;-4.669644676351051E+001;
8.001000000000000E+007;-3.264757593766801E+000;-4.535623740981890E+001;
8.003500000000000E+007;-3.263377968524770E+000;-4.516669125045569E+001;
8.006000000000000E+007;-3.261596015929480E+000;-4.404062558495768E+001;
8.008500000000000E+007;-3.268234927288027E+000;-4.524309761531567E+001;
8.011000000000000E+007;-3.278449292819549E+000;-4.534875508700993E+001;
8.013500000000000E+007;-3.306219481082422E+000;-4.505403668431188E+001;
8.016000000000000E+007;-3.334871512551969E+000;-4.744281308662615E+001;
8.018500000000000E+007;-3.319111271087859E+000;-4.667411199423923E+001;
8.021000000000000E+007;-3.389268565041966E+000;-4.841006317622654E+001;
8.023500000000000E+007;-3.369755926631207E+000;-4.854976104856148E+001;
8.026000000000000E+007;-3.357657026124831E+000;-4.699382425065421E+001;
8.028500000000000E+007;-3.405754252784266E+000;-4.643248178875293E+001;
