# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
7.856000000000000E+007;-1.455963096956763E+000;1.461554327709928E+002;
7.858500000000000E+007;-1.444590831383093E+000;1.451045605821919E+002;
7.861000000000000E+007;-1.425307888593826E+000;1.455849019317025E+002;
7.863500000000000E+007;-1.464428172742443E+000;1.465789772890743E+002;
7.866000000000000E+007;-1.450085597933060E+000;1.446243797232032E+002;
7.868500000000000E+007;-1.435479444093790E+000;1.458905938313054E+002;
7.871000000000000E+007;-1.438048942132178E+000;1.450815224811755E+002;
7.873500000000000E+007;-1.452842437093497E+000;1.450084073599187E+002;
7.876000000000000E+007;-1.479147875841525E+000;1.434348952381585E+002;
7.878500000000000E+007;-1.443220269595857E+000;1.429072659284881E+002;
7.881000000000000E+007;-1.463359410246840E+000;1.432988504927706E+002;
7.883500000000000E+007;-1.451079078206871E+000;1.422638468937975E+002;
7.886000000000000E+007;-1.450391995018862E+000;1.435939887816092E+002;
7.888500000000000E+007;-1.452737544609529E+000;1.414132067313730E+002;
7.891000000000000E+007;-1.500561241726101E+000;1.396840750974901E+002;
7.893500000000000E+007;-1.464838423427076E+000;1.409458795957506E+002;
7.896000000000000E+007;-1.470398466778049E+000;1.410203567513781E+002;
7.898500000000000E+007;-1.496504636536415E+000;1.404852829850300E+002;
7.901000000000000E+007;-1.466553307606939E+000;1.405749341747289E+002;
7.903500000000000E+007;-1.444240358376932E+000;1.399745393465827E+002;
7.906000000000000E+007;-1.490404042754418E+000;1.386970051486800E+002;
7.908500000000000E+007;-1.474564404265194E+000;1.393246626896811E+002;
7.911000000000000E+007;-1.459735223855886E+000;1.393902237130011E+002;
7.913500000000000E+007;-1.485937116453280E+000;1.385137869376503E+002;
7.916000000000000E+007;-1.468155180564860E+000;1.376436502462113E+002;
7.918500000000000E+007;-1.489550624858578E+000;1.374028575011638E+002;
7.921000000000000E+007;-1.478695787945763E+000;1.377381690076192E+002;
7.923500000000000E+007;-1.462890776054401E+000;1.381675178311506E+002;
7.926000000000000E+007;-1.473643819861150E+000;1.374362910257087E+002;
7.928500000000000E+007;-1.480556734226809E+000;1.361540628632193E+002;
7.931000000000000E+007;-1.488024354742940E+000;1.348058898698889E+002;
7.933500000000000E+007;-1.507986188383454E+000;1.357247814158518E+002;
7.936000000000000E+007;-1.510030228099987E+000;1.334639550016612E+002;
7.938500000000000E+007;-1.515006871473003E+000;1.351522207182267E+002;
7.941000000000000E+007;-1.494067305626381E+000;1.342258236878646E+002;
7.943500000000000E+007;-1.480870948186399E+000;1.345242208644913E+002;
7.946000000000000E+007;-1.500409228113552E+000;1.330573137669766E+002;
7.948500000000000E+007;-1.465993364943544E+000;1.328485133864842E+002;
7.951000000000000E+007;-1.521216751570665E+000;1.323809677848536E+002;
7.953500000000000E+007;-1.512319736591548E+000;1.321990330253267E+002;
7.956000000000000E+007;-1.499562457795769E+000;1.309548389477354E+002;
7.958500000000000E+007;-1.498966212530285E+000;1.323303129952724E+002;
7.961000000000000E+007;-1.510370523659252E+000;1.296906084301998E+002;
7.963500000000000E+007;-1.529568599734571E+000;1.291791774562405E+002;
7.966000000000000E+007;-1.535838330086518E+000;1.285392029607431E+002;
7.968500000000000E+007;-1.513086543239049E+000;1.284089853048395E+002;
7.971000000000000E+007;-1.538342706475740E+000;1.282828179541246E+002;
7.973500000000000E+007;-1.534287067470360E+000;1.277996470721316E+002;
7.976000000000000E+007;-1.498426944936998E+000;1.283207825245099E+002;
7.978500000000000E+007;-1.552895432244472E+000;1.274921965826025E+002;
7.981000000000000E+007;-1.544896487424381E+000;1.278157215267376E+002;
7.983500000000000E+007;-1.502340651309159E+000;1.285650067798578E+002;
7.986000000000000E+007;-1.523161142066941E+000;1.257715569534917E+002;
7.988500000000000E+007;-1.512993590287436E+000;1.264797789042199E+002;
7.991000000000000E+007;-1.521408731036275E+000;1.260973823422202E+002;
7.993500000000000E+007;-1.543504636080790E+000;1.270429217580240E+002;
7.996000000000000E+007;-1.536969724105405E+000;1.244453410538206E+002;
7.998500000000000E+007;-1.515117239606748E+000;1.255465476808336E+002;
8.001000000000000E+007;-1.549329418993148E+000;1.246699641641798E+002;
8.003500000000000E+007;-1.554080380526145E+000;1.227376033441707E+002;
8.006000000000000E+007;-1.545581728726372E+000;1.242051061433099E+002;
8.008500000000000E+007;-1.564848508655873E+000;1.234350429303253E+002;
8.011000000000000E+007;-1.540970063187913E+000;1.222305730077977E+002;
8.013500000000000E+007;-1.543146362268800E+000;1.212217459727749E+002;
8.016000000000000E+007;-1.559807584502858E+000;1.215781051429209E+002;
8.018500000000000E+007;-1.535705747416992E+000;1.212881939948394E+002;
8.021000000000000E+007;-1.570587834363679E+000;1.216618380139836E+002;
8.023500000000000E+007;-1.565077158450039E+000;1.210428798397150E+002;
8.026000000000000E+007;-1.565606161713960E+000;1.196876929706060E+002;
8.028500000000000E+007;-1.563908539248965E+000;1.197534128527117E+002;
8.031000000000000E+007;-1.579237574013241E+000;1.207924441042616E+002;
8.033500000000000E+007;-1.556952356797163E+000;1.188481680251712E+002;
8.036000000000000E+007;-1.569119812516057E+000;1.174791154055066E+002;
8.038500000000000E+007;-1.566705721726516E+000;1.180794952510580E+002;
8.041000000000000E+007;-1.589964521771455E+000;1.175332671191532E+002;
8.043500000000000E+007;-1.575982795473737E+000;1.170441417339252E+002;
8.046000000000000E+007;-1.582175594485788E+000;1.164146519821762E+002;
8.048500000000000E+007;-1.582436240608489E+000;1.159340042990970E+002;
8.051000000000000E+007;-1.602874102253042E+000;1.180650494206093E+002;
8.053500000000000E+007;-1.591726292015776E+000;1.154279294449210E+002;
8.056000000000000E+007;-1.619146252754023E+000;1.148240516685067E+002;
8.058500000000000E+007;-1.574133973146103E+000;1.164677090858586E+002;
8.061000000000000E+007;-1.598332243328032E+000;1.156670893990765E+002;
8.063500000000000E+007;-1.627040809372184E+000;1.137642229590962E+002;
