# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
7.000000000000000E+007;-8.198146863582855E-001;1.226245534193369E+001;
7.010000000000000E+007;-8.255530268514461E-001;1.261353292794077E+001;
7.020000000000000E+007;-8.154454629428914E-001;1.243830526182033E+001;
7.030000000000000E+007;-7.887568667911610E-001;1.170992380719756E+001;
7.040000000000000E+007;-8.444961281204184E-001;1.253818875628386E+001;
7.050000000000000E+007;-8.067523984229109E-001;1.174266892758941E+001;
7.060000000000000E+007;-8.167233573209269E-001;1.163467116160872E+001;
7.070000000000000E+007;-9.108849818818939E-001;1.413188781016706E+001;
7.080000000000000E+007;-8.897001234384274E-001;1.360269882996749E+001;
7.090000000000000E+007;-8.423923904659942E-001;1.053145720976863E+001;
7.100000000000000E+007;-8.465808440090625E-001;1.181988539850114E+001;
7.110000000000000E+007;-8.434165279019333E-001;1.196375436527601E+001;
7.120000000000000E+007;-9.013121987381123E-001;1.289757554651761E+001;
7.130000000000000E+007;-8.595938799805198E-001;1.192287818685725E+001;
7.140000000000000E+007;-8.822174616060776E-001;1.281025764606642E+001;
7.150000000000000E+007;-8.789679802081633E-001;1.111344285428758E+001;
7.160000000000000E+007;-8.774580893813877E-001;1.016520670418786E+001;
7.170000000000000E+007;-9.110854694891879E-001;1.351493224356500E+001;
7.180000000000000E+007;-9.162351224637265E-001;1.203177467628382E+001;
7.190000000000000E+007;-8.525453604001355E-001;1.037500835541928E+001;
7.200000000000000E+007;-8.822321010685459E-001;1.082272669704730E+001;
7.210000000000000E+007;-9.086951079554848E-001;1.109532078481355E+001;
7.220000000000000E+007;-9.147817790743190E-001;1.162853195472925E+001;
7.230000000000000E+007;-9.139966726536786E-001;1.128414881225927E+001;
7.240000000000000E+007;-8.988761630018333E-001;1.115830106201781E+001;
7.250000000000000E+007;-8.993930257018963E-001;1.118366411652738E+001;
7.260000000000000E+007;-9.211065514850055E-001;9.817579991982470E+000;
7.270000000000000E+007;-9.127638055904301E-001;9.899235001534825E+000;
7.280000000000000E+007;-8.898899679318024E-001;9.750010363822524E+000;
7.290000000000000E+007;-9.009687181669891E-001;9.758560705843481E+000;
7.300000000000000E+007;-9.820955991657012E-001;1.193630424654101E+001;
7.310000000000000E+007;-9.574320939472395E-001;1.118413042235891E+001;
7.320000000000000E+007;-9.358919412820613E-001;1.002122278106931E+001;
7.330000000000000E+007;-9.398708770576751E-001;9.698703164041570E+000;
7.340000000000000E+007;-9.290643190675629E-001;8.821364124940896E+000;
7.350000000000000E+007;-9.484225796518485E-001;1.026449372229037E+001;
7.360000000000000E+007;-9.335961698602379E-001;9.416233657426577E+000;
7.370000000000000E+007;-9.765850678166702E-001;9.748064225757913E+000;
7.380000000000000E+007;-9.873487496012393E-001;9.799811276434157E+000;
7.390000000000000E+007;-9.731443106881097E-001;9.050077162673048E+000;
7.400000000000000E+007;-9.991375005141352E-001;1.004151136718602E+001;
7.410000000000000E+007;-9.545088256920367E-001;7.951855443936588E+000;
7.420000000000000E+007;-9.638392442057671E-001;8.809366200080390E+000;
7.430000000000000E+007;-1.030994197097095E+000;9.460088839598129E+000;
7.440000000000000E+007;-9.934777721749251E-001;8.675307737610559E+000;
7.450000000000000E+007;-9.366492913975592E-001;7.191381424499803E+000;
7.460000000000000E+007;-1.046900594869894E+000;8.621397884663180E+000;
7.470000000000000E+007;-1.031433311607855E+000;8.377650267648265E+000;
