# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.100000000000000E+007;-5.269867244100454E+000;-1.593535764343309E+001;
8.102500000000000E+007;-5.105538115814666E+000;-1.477319773087231E+001;
8.105000000000000E+007;-5.153277252428935E+000;-1.395128898414997E+001;
8.107500000000000E+007;-5.022029126881098E+000;-1.449023565391967E+001;
8.110000000000000E+007;-5.005222309702459E+000;-1.366308873063187E+001;
8.112500000000000E+007;-4.876714962698146E+000;-1.268836027470542E+001;
8.115000000000000E+007;-4.835140423088093E+000;-1.377676188314098E+001;
8.117500000000000E+007;-4.715250523587537E+000;-1.584564280696086E+001;
8.120000000000000E+007;-4.624349868641578E+000;-1.521703872670539E+001;
8.122500000000000E+007;-4.623181753556936E+000;-1.476598284214247E+001;
8.125000000000000E+007;-4.495102245322086E+000;-1.670344512855094E+001;
8.127500000000000E+007;-4.533016509823914E+000;-1.486258573292160E+001;
8.130000000000000E+007;-4.481179424851548E+000;-1.633080919737928E+001;
8.132500000000000E+007;-4.422785224837992E+000;-1.635256950700953E+001;
8.135000000000000E+007;-4.349554839274404E+000;-1.884371198955819E+001;
8.137500000000000E+007;-4.407475672650892E+000;-1.775858351856092E+001;
8.140000000000000E+007;-4.319866889846935E+000;-1.959273961874680E+001;
8.142500000000000E+007;-4.305499178309002E+000;-1.938233444639512E+001;
8.145000000000000E+007;-4.388711632633763E+000;-2.343608079065666E+001;
8.147500000000000E+007;-4.385017210601353E+000;-2.117252402037965E+001;
8.150000000000000E+007;-4.414973229027296E+000;-2.238920778956996E+001;
8.152500000000000E+007;-4.424927044449200E+000;-2.305809479066709E+001;
8.155000000000000E+007;-4.460642434319613E+000;-2.368826954476625E+001;
8.157500000000000E+007;-4.539638871523893E+000;-2.462147045868711E+001;
8.160000000000000E+007;-4.600029220082339E+000;-2.608389820960230E+001;
8.162500000000000E+007;-4.607261604584718E+000;-2.605626664198898E+001;
8.165000000000000E+007;-4.676237282992593E+000;-2.622684620606084E+001;
8.167500000000000E+007;-4.717693627559322E+000;-2.782717340965645E+001;
8.170000000000000E+007;-4.823337971080450E+000;-2.635810824082458E+001;
8.172500000000000E+007;-4.920829542067692E+000;-2.679874605306994E+001;
8.175000000000000E+007;-4.974952675015516E+000;-2.776859053714527E+001;
8.177500000000000E+007;-5.008379496158298E+000;-3.001608115903608E+001;
8.180000000000000E+007;-5.046285308644232E+000;-3.091493812839768E+001;
8.182500000000000E+007;-5.123647402071671E+000;-3.035161709698753E+001;
8.185000000000000E+007;-5.279769941982082E+000;-3.082024399520440E+001;
8.187500000000000E+007;-5.331154191319715E+000;-3.190272204514729E+001;
8.190000000000000E+007;-5.421072618319035E+000;-3.336055386384063E+001;
8.192500000000000E+007;-5.457396637517469E+000;-3.450349467430729E+001;
8.195000000000000E+007;-5.564698116701193E+000;-3.393991791950442E+001;
8.197500000000000E+007;-5.602574462910933E+000;-3.517628772663513E+001;
8.200000000000000E+007;-5.768462565153036E+000;-3.651288673730663E+001;
8.202500000000000E+007;-5.820736477871986E+000;-3.657351994448060E+001;
8.205000000000000E+007;-5.941484393226677E+000;-3.718235559254848E+001;
8.207500000000000E+007;-6.031590969770147E+000;-3.897714451441264E+001;
8.210000000000000E+007;-6.246418120437983E+000;-3.892827696645335E+001;
8.212500000000000E+007;-6.294575032833025E+000;-3.911689902124250E+001;
8.215000000000000E+007;-6.336399187588246E+000;-4.008125855561048E+001;
8.217500000000000E+007;-6.509391673815139E+000;-3.931630533757507E+001;
8.220000000000000E+007;-6.609634646918050E+000;-4.170540975856739E+001;
8.222500000000000E+007;-6.763491521242522E+000;-4.266279284716745E+001;
8.225000000000000E+007;-6.945782238710909E+000;-4.343972071493305E+001;
8.227500000000000E+007;-7.059686921725790E+000;-4.351720220287815E+001;
8.230000000000000E+007;-7.228537432062406E+000;-4.418799569517174E+001;
8.232500000000000E+007;-7.234631528972351E+000;-4.624719020069338E+001;
8.235000000000000E+007;-7.442052495168172E+000;-4.562960842841675E+001;
8.237500000000000E+007;-7.530630252860261E+000;-4.562155408799492E+001;
8.240000000000000E+007;-7.786216639094986E+000;-4.655868422122609E+001;
8.242500000000000E+007;-7.884652943655746E+000;-4.729403351397902E+001;
8.245000000000000E+007;-8.154710045571923E+000;-4.649445887780959E+001;
8.247500000000000E+007;-8.286742147702551E+000;-4.986259752287814E+001;
8.250000000000000E+007;-8.439625151930812E+000;-5.031101097984433E+001;
8.252500000000000E+007;-8.578523975653623E+000;-5.122733827426407E+001;
8.255000000000000E+007;-8.680709610987563E+000;-5.235410136797525E+001;
8.257500000000000E+007;-8.934636934995885E+000;-5.285673171503399E+001;
8.260000000000000E+007;-9.051004390261852E+000;-5.385330851553093E+001;
8.262500000000000E+007;-9.329890960664747E+000;-5.541150950473408E+001;
8.265000000000000E+007;-9.583800371506769E+000;-5.625826602220389E+001;
8.267500000000000E+007;-9.682165809344603E+000;-5.587870934296094E+001;
8.270000000000000E+007;-9.933673235875872E+000;-5.664556509971791E+001;
8.272500000000000E+007;-1.008983615644972E+001;-5.793130701894336E+001;
8.275000000000000E+007;-1.033706858283184E+001;-6.030660019363461E+001;
8.277500000000000E+007;-1.055421418249667E+001;-6.054630472079146E+001;
8.280000000000000E+007;-1.074307999866464E+001;-6.185998717347533E+001;
8.282500000000000E+007;-1.110316752589938E+001;-6.229878985405409E+001;
8.285000000000000E+007;-1.127757866060975E+001;-6.471627607627026E+001;
8.287500000000000E+007;-1.154061704119883E+001;-6.358432578211405E+001;
8.290000000000000E+007;-1.192456640279619E+001;-6.476234352966938E+001;
8.292500000000000E+007;-1.216990151122965E+001;-6.526510649588414E+001;
8.295000000000000E+007;-1.239170386420047E+001;-6.773289338510939E+001;
8.297500000000000E+007;-1.270278953014624E+001;-6.774171671304775E+001;
8.300000000000000E+007;-1.300000863949888E+001;-7.112532299901604E+001;
8.302500000000000E+007;-1.351296328378560E+001;-7.228449476189326E+001;
8.305000000000000E+007;-1.363839583958683E+001;-7.359121934486160E+001;
8.307500000000000E+007;-1.417395746246010E+001;-7.364770985107124E+001;
8.310000000000000E+007;-1.438427721511193E+001;-7.626290464183784E+001;
8.312500000000000E+007;-1.480139346139202E+001;-7.795351243170808E+001;
8.315000000000000E+007;-1.524102948379450E+001;-7.948166253559782E+001;
8.317500000000000E+007;-1.552174344939928E+001;-8.003262038626559E+001;
8.320000000000000E+007;-1.616773665682354E+001;-8.254180923608310E+001;
8.322500000000000E+007;-1.651540776046861E+001;-8.736804155294935E+001;
8.325000000000000E+007;-1.701920043786893E+001;-8.885396336397594E+001;
8.327500000000000E+007;-1.737150974113740E+001;-9.133621707329793E+001;
8.330000000000000E+007;-1.833410479442225E+001;-9.505006076536314E+001;
8.332500000000000E+007;-1.848784716161610E+001;-9.709570859070952E+001;
8.335000000000000E+007;-1.892511825718176E+001;-9.882273711486174E+001;
8.337500000000000E+007;-1.984534414501549E+001;-1.060064270711850E+002;
8.340000000000000E+007;-2.015915496325341E+001;-1.085703024522602E+002;
8.342500000000000E+007;-2.085455008408982E+001;-1.160199785338148E+002;
8.345000000000000E+007;-2.097051269131439E+001;-1.188067440980525E+002;
8.347500000000000E+007;-2.141357559801113E+001;-1.248892929677284E+002;
8.350000000000000E+007;-2.234154173431465E+001;-1.317449315508424E+002;
8.352500000000000E+007;-2.227052969178005E+001;-1.369978928992088E+002;
8.355000000000000E+007;-2.213736388474497E+001;-1.463555052082505E+002;
8.357500000000000E+007;-2.266851585994806E+001;-1.527985080734732E+002;
8.360000000000000E+007;-2.255550547094583E+001;-1.669265774529600E+002;
8.362500000000000E+007;-2.225251471235060E+001;-1.671656116635057E+002;
8.365000000000000E+007;-2.189892987459094E+001;-1.736406816039950E+002;
8.367500000000000E+007;-2.159122080662398E+001;1.771729836676975E+002;
8.370000000000000E+007;-2.135229057180270E+001;1.738773948653551E+002;
8.372500000000000E+007;-2.094268158774430E+001;1.666614587978074E+002;
8.375000000000000E+007;-2.065318229928311E+001;1.604134569433526E+002;
8.377500000000000E+007;-1.972871459099806E+001;1.591741648518187E+002;
8.380000000000000E+007;-1.928725853922258E+001;1.519524894663463E+002;
8.382500000000000E+007;-1.872391397917730E+001;1.527807571127781E+002;
8.385000000000000E+007;-1.830514099311109E+001;1.478971778111305E+002;
8.387500000000000E+007;-1.755414047758267E+001;1.431168174115862E+002;
8.390000000000000E+007;-1.719379843352612E+001;1.409814130661717E+002;
8.392500000000000E+007;-1.677379457879125E+001;1.410631890497505E+002;
8.395000000000000E+007;-1.648480947405806E+001;1.366563750276396E+002;
8.397500000000000E+007;-1.589873968455268E+001;1.351431416473977E+002;
8.400000000000000E+007;-1.555460852119445E+001;1.306738402159774E+002;
8.402500000000000E+007;-1.523701438817481E+001;1.289788210663746E+002;
8.405000000000000E+007;-1.487809743482452E+001;1.288628199044810E+002;
8.407500000000000E+007;-1.441090507726838E+001;1.265139220763836E+002;
8.410000000000000E+007;-1.405472122586781E+001;1.259179801280010E+002;
8.412500000000000E+007;-1.381442514765037E+001;1.209044911655507E+002;
8.415000000000000E+007;-1.331144930753186E+001;1.224304495775091E+002;
8.417500000000000E+007;-1.304683761447124E+001;1.174138789532010E+002;
8.420000000000000E+007;-1.267774558895948E+001;1.197336603392974E+002;
8.422500000000000E+007;-1.250630528321284E+001;1.189651151596165E+002;
8.425000000000000E+007;-1.214316257511336E+001;1.155466237065349E+002;
8.427500000000000E+007;-1.202874014634994E+001;1.168684754564358E+002;
8.430000000000000E+007;-1.171778639209239E+001;1.169072527963507E+002;
8.432500000000000E+007;-1.140766395646123E+001;1.128581819330338E+002;
8.435000000000000E+007;-1.124113170081966E+001;1.152835913224133E+002;
8.437500000000000E+007;-1.107417470975621E+001;1.140569651948918E+002;
8.440000000000000E+007;-1.069039866441334E+001;1.113658725372248E+002;
8.442500000000000E+007;-1.065522410068048E+001;1.123476071608126E+002;
8.445000000000000E+007;-1.028725132531117E+001;1.103415968765560E+002;
8.447500000000000E+007;-1.015587125943442E+001;1.109410355212197E+002;
8.450000000000000E+007;-9.862014209624933E+000;1.084139619692007E+002;
8.452500000000000E+007;-9.783752631576029E+000;1.085880714383840E+002;
8.455000000000000E+007;-9.588161139528904E+000;1.076539532325145E+002;
8.457500000000000E+007;-9.394401516403956E+000;1.058817611995324E+002;
8.460000000000000E+007;-9.326749108728025E+000;1.066709055177110E+002;
8.462500000000000E+007;-9.052215909061248E+000;1.063230223002204E+002;
8.465000000000000E+007;-8.905162797978317E+000;1.038843922760626E+002;
8.467500000000000E+007;-8.644991780551958E+000;1.033714093065133E+002;
8.470000000000000E+007;-8.504822891799433E+000;1.020358527001773E+002;
8.472500000000000E+007;-8.491747195528442E+000;1.035152980026348E+002;
8.475000000000000E+007;-8.309144486750018E+000;1.022889074100313E+002;
8.477500000000000E+007;-8.096936417481601E+000;1.000447600254319E+002;
8.480000000000000E+007;-7.991704780879914E+000;1.016979526606065E+002;
8.482500000000000E+007;-7.890539708278499E+000;9.858689472704340E+001;
8.485000000000000E+007;-7.775495578801228E+000;9.969397074592756E+001;
8.487500000000000E+007;-7.630074289749246E+000;9.900956149732330E+001;
8.490000000000000E+007;-7.503891108687219E+000;9.972576350931868E+001;
8.492500000000000E+007;-7.389447312351712E+000;9.792460241123361E+001;
8.495000000000000E+007;-7.264923352353966E+000;9.611787567811084E+001;
8.497500000000000E+007;-7.091760550958601E+000;9.564562207394813E+001;
8.500000000000000E+007;-6.943338932209861E+000;9.649023102256675E+001;
8.502500000000000E+007;-6.897427229193220E+000;9.440140694718262E+001;
8.505000000000000E+007;-6.827221061423895E+000;9.506194283685795E+001;
8.507500000000000E+007;-6.663048382560175E+000;9.519143501263402E+001;
8.510000000000000E+007;-6.555719922836936E+000;9.379270070536774E+001;
8.512500000000000E+007;-6.471918274853042E+000;9.284534449870878E+001;
8.515000000000000E+007;-6.422790672906659E+000;9.275858650001177E+001;
8.517500000000000E+007;-6.282914357082764E+000;9.290457859585608E+001;
8.520000000000000E+007;-6.162390814806009E+000;9.160924356184657E+001;
8.522500000000000E+007;-6.167764628879853E+000;9.237913649762665E+001;
8.525000000000000E+007;-5.904699207430160E+000;9.009708518505192E+001;
8.527500000000000E+007;-5.878165513170715E+000;9.060963887888575E+001;
8.530000000000000E+007;-5.891558363509388E+000;9.086018400069071E+001;
8.532500000000000E+007;-5.785055508428299E+000;8.803116348416766E+001;
