# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
7.000000000000000E+007;-5.756427324769358E-001;-7.296908276643089E-001;
7.010000000000000E+007;-5.981312966877505E-001;-7.079282259215542E-001;
7.020000000000000E+007;-5.773958548119386E-001;-7.270922780930407E-001;
7.030000000000000E+007;-5.797056761946013E-001;-7.228113262851745E-001;
7.040000000000000E+007;-5.962579005915651E-001;-7.109783754799985E-001;
7.050000000000000E+007;-5.950739783496291E-001;-7.127932007097373E-001;
7.060000000000000E+007;-5.999783776390920E-001;-7.064301694749388E-001;
7.070000000000000E+007;-6.009391601965350E-001;-7.064718563043853E-001;
7.080000000000000E+007;-5.971381998611449E-001;-7.151213121660138E-001;
7.090000000000000E+007;-6.144175760459525E-001;-6.956658119409273E-001;
7.100000000000000E+007;-5.852548696084522E-001;-7.222938242159995E-001;
7.110000000000000E+007;-6.056612505532217E-001;-7.038501817266922E-001;
7.120000000000000E+007;-6.019389003738093E-001;-7.074801694979609E-001;
7.130000000000000E+007;-6.218486154602978E-001;-6.900208379647472E-001;
7.140000000000000E+007;-5.971681860925348E-001;-7.124292933916171E-001;
7.150000000000000E+007;-6.230800394766852E-001;-6.884005713371629E-001;
7.160000000000000E+007;-6.226084610948782E-001;-6.883897423568487E-001;
7.170000000000000E+007;-6.138544604420689E-001;-6.993097052641624E-001;
7.180000000000000E+007;-6.158234355741683E-001;-6.983765865310064E-001;
7.190000000000000E+007;-6.232052663129322E-001;-6.861239151763904E-001;
7.200000000000000E+007;-6.186386549709759E-001;-6.959834873751463E-001;
7.210000000000000E+007;-6.147373802067232E-001;-6.972095745754090E-001;
7.220000000000000E+007;-6.226595260466915E-001;-6.929930826626027E-001;
7.230000000000000E+007;-6.238304938081167E-001;-6.923517550786652E-001;
7.240000000000000E+007;-6.360266162707768E-001;-6.790974075717841E-001;
7.250000000000000E+007;-6.385673603243703E-001;-6.755645371919098E-001;
7.260000000000000E+007;-6.269708891979425E-001;-6.821242826432509E-001;
7.270000000000000E+007;-6.385028347239266E-001;-6.738342747373139E-001;
7.280000000000000E+007;-6.194498393171243E-001;-6.940765716587516E-001;
7.290000000000000E+007;-6.181131765761880E-001;-6.955378729109267E-001;
7.300000000000000E+007;-6.243124476275958E-001;-6.887231720811453E-001;
7.310000000000000E+007;-6.243962135615906E-001;-6.921719456626643E-001;
7.320000000000000E+007;-6.426856170301056E-001;-6.716403097422264E-001;
7.330000000000000E+007;-6.334126897037500E-001;-6.813607828429569E-001;
7.340000000000000E+007;-6.504147986842078E-001;-6.644842381685199E-001;
7.350000000000000E+007;-6.306589049422560E-001;-6.869297718066242E-001;
7.360000000000000E+007;-6.507044722146993E-001;-6.619205709508089E-001;
7.370000000000000E+007;-6.544474299024399E-001;-6.582435925725125E-001;
7.380000000000000E+007;-6.572398782530068E-001;-6.551605897854946E-001;
7.390000000000000E+007;-6.373728348487954E-001;-6.818263804855390E-001;
7.400000000000000E+007;-6.489573544560172E-001;-6.626925320417539E-001;
7.410000000000000E+007;-6.523766748857306E-001;-6.589542591880342E-001;
7.420000000000000E+007;-6.564024968997217E-001;-6.587287123198499E-001;
7.430000000000000E+007;-6.525170831534169E-001;-6.565815086756985E-001;
7.440000000000000E+007;-6.545925462755091E-001;-6.603783682388177E-001;
7.450000000000000E+007;-6.589050873648447E-001;-6.554634774911832E-001;
7.460000000000000E+007;-6.670096233806862E-001;-6.434040230596051E-001;
7.470000000000000E+007;-6.715792644510039E-001;-6.369252647141392E-001;
7.480000000000000E+007;-6.670323273605424E-001;-6.459239026400896E-001;
7.490000000000000E+007;-6.548126121501894E-001;-6.571236971537832E-001;
7.500000000000000E+007;-6.491845796593025E-001;-6.658514190815940E-001;
7.510000000000000E+007;-6.702882605826105E-001;-6.436812084546192E-001;
7.520000000000000E+007;-6.678732124118436E-001;-6.457752357043461E-001;
7.530000000000000E+007;-6.691406094891462E-001;-6.398634698950736E-001;
7.540000000000000E+007;-6.751125830267171E-001;-6.336668064810181E-001;
7.550000000000000E+007;-6.812073997919574E-001;-6.231135987104534E-001;
7.560000000000000E+007;-6.583536890099710E-001;-6.564867611699752E-001;
7.570000000000000E+007;-6.784056384617276E-001;-6.309075042873193E-001;
7.580000000000000E+007;-6.766599701688353E-001;-6.354104465903652E-001;
7.590000000000000E+007;-6.784344134268294E-001;-6.306921244553516E-001;
7.600000000000000E+007;-6.601462660841084E-001;-6.561163065845038E-001;
7.610000000000000E+007;-6.641276235229331E-001;-6.496366076561623E-001;
7.620000000000000E+007;-6.877187597885377E-001;-6.201546180046090E-001;
7.630000000000000E+007;-6.708947371332801E-001;-6.449479279470732E-001;
7.640000000000000E+007;-6.807815850203498E-001;-6.326357408330162E-001;
7.650000000000000E+007;-6.895152371750269E-001;-6.199413068029395E-001;
7.660000000000000E+007;-6.825356638253494E-001;-6.274532630221473E-001;
7.670000000000000E+007;-6.964351494083987E-001;-6.095088138191893E-001;
7.680000000000000E+007;-6.864459393403855E-001;-6.214954442927685E-001;
7.690000000000000E+007;-6.955600921400298E-001;-6.106652938358044E-001;
7.700000000000000E+007;-6.841455997807456E-001;-6.291541354853656E-001;
7.710000000000000E+007;-6.973846092799169E-001;-6.058255066957990E-001;
7.720000000000000E+007;-6.825723014211204E-001;-6.320218257404932E-001;
7.730000000000000E+007;-6.932232938119485E-001;-6.166639536623612E-001;
7.740000000000000E+007;-6.906290748048762E-001;-6.153159459981408E-001;
7.750000000000000E+007;-7.073357288750013E-001;-5.941028386704366E-001;
7.760000000000000E+007;-7.001257722615966E-001;-6.083798099567872E-001;
7.770000000000000E+007;-7.159140770966963E-001;-5.801654265135103E-001;
7.780000000000000E+007;-7.101860905764845E-001;-5.918406441932586E-001;
7.790000000000000E+007;-6.978140614580719E-001;-6.115142210592590E-001;
7.800000000000000E+007;-6.990116675025595E-001;-6.107078460949240E-001;
7.810000000000000E+007;-7.056659745345595E-001;-6.042856193376408E-001;
7.820000000000000E+007;-7.264474808680081E-001;-5.624791269842899E-001;
7.830000000000000E+007;-7.127100011393170E-001;-5.936704337204213E-001;
7.840000000000000E+007;-7.180722027396955E-001;-5.811289884238560E-001;
7.850000000000000E+007;-7.244872535194143E-001;-5.696365045104761E-001;
7.860000000000000E+007;-7.280665179909576E-001;-5.678503794470392E-001;
7.870000000000000E+007;-7.188808253096903E-001;-5.783683985169810E-001;
7.880000000000000E+007;-7.201062209258162E-001;-5.769108944785637E-001;
7.890000000000000E+007;-7.228198616654805E-001;-5.782557039461150E-001;
7.900000000000000E+007;-7.301451246906958E-001;-5.628882154758185E-001;
7.910000000000000E+007;-7.288865169232561E-001;-5.641456338436331E-001;
7.920000000000000E+007;-7.282345504534604E-001;-5.667687524344324E-001;
7.930000000000000E+007;-7.352670967842648E-001;-5.524154753793162E-001;
7.940000000000000E+007;-7.263127917213013E-001;-5.747317874816781E-001;
7.950000000000000E+007;-7.457584676499939E-001;-5.363887732842209E-001;
7.960000000000000E+007;-7.391111811842958E-001;-5.529873504046194E-001;
7.970000000000000E+007;-7.372236325346649E-001;-5.545829236126437E-001;
7.980000000000000E+007;-7.450523586156633E-001;-5.354180177291601E-001;
7.990000000000000E+007;-7.508211098257513E-001;-5.266674989036899E-001;
8.000000000000000E+007;-7.356024889191416E-001;-5.561965734986043E-001;
8.010000000000000E+007;-7.532229065951490E-001;-5.230432209343631E-001;
8.020000000000000E+007;-7.517173840793285E-001;-5.281654057351667E-001;
8.030000000000000E+007;-7.550412266715743E-001;-5.181639499329767E-001;
8.040000000000000E+007;-7.608730573978564E-001;-5.047461978996959E-001;
8.050000000000000E+007;-7.651172039218728E-001;-5.004639764612273E-001;
8.060000000000000E+007;-7.627591114135478E-001;-5.073988796644928E-001;
8.070000000000000E+007;-7.700487496106454E-001;-4.828416123641985E-001;
8.080000000000000E+007;-7.708395440265978E-001;-4.831317282067740E-001;
