# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
7.000000000000000E+007;-5.632530728798849E-001;-1.294070423512935E+002;
7.010000000000000E+007;-5.508026061382696E-001;-1.296870944871927E+002;
7.020000000000000E+007;-5.353438115083000E-001;-1.308464099507799E+002;
7.030000000000000E+007;-5.191308484050580E-001;-1.305331125224813E+002;
7.040000000000000E+007;-5.222890178172674E-001;-1.298067554732211E+002;
7.050000000000000E+007;-5.049683519854576E-001;-1.293659022518820E+002;
7.060000000000000E+007;-5.026459819450048E-001;-1.296634613635976E+002;
7.070000000000000E+007;-5.352641960883541E-001;-1.299176203709025E+002;
7.080000000000000E+007;-5.528297563148159E-001;-1.304552643475711E+002;
7.090000000000000E+007;-4.948567512938411E-001;-1.299214609226991E+002;
7.100000000000000E+007;-5.761700829976374E-001;-1.304167545316815E+002;
7.110000000000000E+007;-5.160375341729030E-001;-1.304878102404568E+002;
7.120000000000000E+007;-5.186471314284553E-001;-1.309516263295601E+002;
7.130000000000000E+007;-5.363766861440030E-001;-1.304244778229324E+002;
7.140000000000000E+007;-5.382636937769015E-001;-1.306112862284092E+002;
7.150000000000000E+007;-5.116027646117706E-001;-1.317640362141354E+002;
7.160000000000000E+007;-5.492393690410214E-001;-1.323580131744421E+002;
7.170000000000000E+007;-5.403036594977373E-001;-1.320137397452379E+002;
7.180000000000000E+007;-5.153891417420151E-001;-1.325683474629951E+002;
7.190000000000000E+007;-5.333585349890969E-001;-1.300509542092050E+002;
7.200000000000000E+007;-5.384549947068356E-001;-1.307454449116569E+002;
7.210000000000000E+007;-5.270452604884465E-001;-1.320573331523705E+002;
7.220000000000000E+007;-5.759160229766456E-001;-1.323254984576416E+002;
7.230000000000000E+007;-5.287777078892125E-001;-1.306648086154867E+002;
7.240000000000000E+007;-5.537931749276421E-001;-1.310878949929185E+002;
7.250000000000000E+007;-5.470330160098923E-001;-1.328475613728457E+002;
