# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
8.100000000000000E+007;-7.809816226787053E-001;-4.494792215975437E-001;
8.102500000000000E+007;-7.788977649135678E-001;-4.638971719372446E-001;
8.105000000000000E+007;-7.804877464607863E-001;-4.591612392794864E-001;
8.107500000000000E+007;-7.800116143967610E-001;-4.583114227099698E-001;
8.110000000000000E+007;-7.833592351459421E-001;-4.523902587070245E-001;
8.112500000000000E+007;-7.815538543884939E-001;-4.630204746106876E-001;
8.115000000000000E+007;-7.839031887525139E-001;-4.552795398579557E-001;
8.117500000000000E+007;-7.838901614640840E-001;-4.572900061437580E-001;
8.120000000000000E+007;-7.850963063405296E-001;-4.460890623127236E-001;
8.122500000000000E+007;-7.862241950464981E-001;-4.461915205199761E-001;
8.125000000000000E+007;-7.881001731500112E-001;-4.390463596426409E-001;
8.127500000000000E+007;-7.847177472967476E-001;-4.543018153992278E-001;
8.130000000000000E+007;-7.865145684608497E-001;-4.489816426826244E-001;
8.132500000000000E+007;-7.989980621800308E-001;-4.033367597828007E-001;
8.135000000000000E+007;-7.882359243483059E-001;-4.385020654587565E-001;
8.137500000000000E+007;-7.957233464690838E-001;-4.135348678266985E-001;
8.140000000000000E+007;-7.869415215785515E-001;-4.371089627165669E-001;
8.142500000000000E+007;-7.934947911977930E-001;-4.203454190509867E-001;
8.145000000000000E+007;-7.904946737509475E-001;-4.330789737687809E-001;
8.147500000000000E+007;-7.886831590068262E-001;-4.362603210060260E-001;
8.150000000000000E+007;-7.905623244382070E-001;-4.312157930196472E-001;
8.152500000000000E+007;-7.932291834369949E-001;-4.265739389368939E-001;
8.155000000000000E+007;-7.924143996121242E-001;-4.288115635867784E-001;
8.157500000000000E+007;-7.933816840870369E-001;-4.203175269627318E-001;
8.160000000000000E+007;-7.917680882703935E-001;-4.237269510693985E-001;
8.162500000000000E+007;-8.005328461327550E-001;-3.977207326137054E-001;
8.165000000000000E+007;-7.955270193006748E-001;-4.185401720128701E-001;
8.167500000000000E+007;-7.969763642204983E-001;-4.039981741030539E-001;
8.170000000000000E+007;-7.959395330370710E-001;-4.079754654081174E-001;
8.172500000000000E+007;-8.026789873011001E-001;-3.914540134538949E-001;
8.175000000000000E+007;-8.011870015571483E-001;-3.913514069780398E-001;
8.177500000000000E+007;-8.018364970036971E-001;-3.844801513635295E-001;
8.180000000000000E+007;-8.031188189047769E-001;-3.774226988201982E-001;
8.182500000000000E+007;-7.992062689432116E-001;-3.918956343760535E-001;
8.185000000000000E+007;-8.002007172010538E-001;-3.898999571485551E-001;
8.187500000000000E+007;-7.998592530282468E-001;-3.859262316250240E-001;
8.190000000000000E+007;-8.086486954671682E-001;-3.331036938661366E-001;
8.192500000000000E+007;-8.028641566436849E-001;-3.746472644024487E-001;
8.195000000000000E+007;-8.057446812636576E-001;-3.578882138272863E-001;
8.197500000000000E+007;-8.062964979034278E-001;-3.485481747340364E-001;
8.200000000000000E+007;-8.084597965310201E-001;-3.310956391115217E-001;
8.202500000000000E+007;-8.056360425760520E-001;-3.401200369071045E-001;
8.205000000000000E+007;-8.043609474594503E-001;-3.520194292140554E-001;
8.207500000000000E+007;-8.042639362318981E-001;-3.484400916143252E-001;
