# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.100000000000000E+007;-8.308359298338564E-001;-1.500005318458278E+002;
8.102500000000000E+007;-7.777577683459034E-001;-1.498630699537780E+002;
8.105000000000000E+007;-7.917998411865012E-001;-1.499034585299037E+002;
8.107500000000000E+007;-7.817160582403724E-001;-1.495508149708253E+002;
8.110000000000000E+007;-7.624879652425596E-001;-1.488633154352657E+002;
8.112500000000000E+007;-7.667983709727311E-001;-1.489173390129331E+002;
8.115000000000000E+007;-7.824141589114159E-001;-1.494760976204701E+002;
8.117500000000000E+007;-7.289626815368721E-001;-1.482225745759315E+002;
8.120000000000000E+007;-7.503099805616204E-001;-1.491240679707525E+002;
8.122500000000000E+007;-8.005268728327951E-001;-1.497947628047466E+002;
8.125000000000000E+007;-7.805836105427754E-001;-1.494792588718472E+002;
8.127500000000000E+007;-7.523236948860035E-001;-1.490983594803956E+002;
8.130000000000000E+007;-7.945185844763063E-001;-1.498541921611310E+002;
8.132500000000000E+007;-7.990494148447789E-001;-1.501448000739343E+002;
8.135000000000000E+007;-8.068223412753554E-001;-1.502218372906214E+002;
8.137500000000000E+007;-6.841238879842064E-001;-1.479139886759374E+002;
8.140000000000000E+007;-7.986758071582478E-001;-1.503408216723094E+002;
8.142500000000000E+007;-8.136486981230426E-001;-1.510511921515486E+002;
8.145000000000000E+007;-7.918051276755529E-001;-1.501895059703469E+002;
8.147500000000000E+007;-8.311442432985698E-001;-1.526544969887279E+002;
8.150000000000000E+007;-7.831798693480082E-001;-1.510446341812620E+002;
8.152500000000000E+007;-8.593573020353826E-001;-1.524400758708618E+002;
8.155000000000000E+007;-8.312848165790920E-001;-1.523978116991858E+002;
8.157500000000000E+007;-8.592167932645990E-001;-1.519722569782205E+002;
8.160000000000000E+007;-8.967064305156344E-001;-1.519834214740567E+002;
8.162500000000000E+007;-8.310621053084180E-001;-1.509169943499593E+002;
8.165000000000000E+007;-8.865041982587408E-001;-1.525481726587297E+002;
8.167500000000000E+007;-9.466711956706396E-001;-1.535621005588495E+002;
8.170000000000000E+007;-8.958833590629574E-001;-1.531283193423462E+002;
8.172500000000000E+007;-8.889534348491800E-001;-1.530435082165645E+002;
8.175000000000000E+007;-9.270372832451700E-001;-1.532831392571658E+002;
8.177500000000000E+007;-9.641945681428499E-001;-1.548343656235435E+002;
8.180000000000000E+007;-9.253633699328345E-001;-1.542321927260128E+002;
8.182500000000000E+007;-9.305356313373365E-001;-1.543925040789070E+002;
8.185000000000000E+007;-9.988856137218286E-001;-1.560360896788025E+002;
8.187500000000000E+007;-9.601711404089085E-001;-1.544437118294680E+002;
8.190000000000000E+007;-9.761370259206844E-001;-1.552932745609810E+002;
8.192500000000000E+007;-9.295486766229826E-001;-1.530603013676252E+002;
8.195000000000000E+007;-9.092737188993859E-001;-1.528479189817378E+002;
8.197500000000000E+007;-1.007178192218103E+000;-1.556902901647182E+002;
8.200000000000000E+007;-1.026043099462573E+000;-1.556990074881651E+002;
8.202500000000000E+007;-1.031302912514528E+000;-1.562168630097793E+002;
