# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-2.580696158003060E+000;4.438601397846163E+001;
8.003500000000000E+007;-2.561543259730375E+000;4.435295137720330E+001;
8.007000000000000E+007;-2.550290815875547E+000;4.373726837370892E+001;
8.010500000000000E+007;-2.570618241898184E+000;4.320609761960096E+001;
8.014000000000000E+007;-2.677899801215589E+000;4.474438894065764E+001;
8.017500000000000E+007;-2.604582429807072E+000;4.215814408198993E+001;
8.021000000000000E+007;-2.636419430529418E+000;4.205046915879977E+001;
8.024500000000000E+007;-2.614842747886044E+000;4.028492152799980E+001;
8.028000000000000E+007;-2.647126869274463E+000;3.962595573424007E+001;
8.031500000000000E+007;-2.647234418967980E+000;4.010214752022868E+001;
8.035000000000000E+007;-2.657857260531924E+000;3.944538624559598E+001;
8.038500000000000E+007;-2.636669970632555E+000;3.885009743889778E+001;
8.042000000000000E+007;-2.717013304072980E+000;3.962291167311510E+001;
8.045500000000000E+007;-2.722020866317434E+000;3.790900487832195E+001;
8.049000000000000E+007;-2.800980520410062E+000;3.943858709696011E+001;
8.052500000000000E+007;-2.760113987893626E+000;3.908707118176066E+001;
8.056000000000000E+007;-2.781710056330521E+000;3.802020568556470E+001;
8.059500000000000E+007;-2.776831514503352E+000;3.544388114537509E+001;
8.063000000000000E+007;-2.807986176638404E+000;3.662005082940560E+001;
8.066500000000000E+007;-2.882478535980724E+000;3.584025446002902E+001;
8.070000000000000E+007;-2.827775971667809E+000;3.470136379654306E+001;
8.073500000000000E+007;-2.865843571485855E+000;3.501171575364847E+001;
8.077000000000000E+007;-2.861986924474982E+000;3.384476437592340E+001;
8.080500000000000E+007;-2.873592257824994E+000;3.212070123295447E+001;
8.084000000000000E+007;-2.951012487934831E+000;3.307234809619857E+001;
8.087500000000000E+007;-2.970579703101981E+000;3.299235335050120E+001;
8.091000000000000E+007;-2.949646501065775E+000;3.318774544914696E+001;
8.094500000000000E+007;-3.084147584368481E+000;3.271490200227439E+001;
8.098000000000000E+007;-3.024598908405253E+000;3.042475272792803E+001;
8.101500000000000E+007;-3.106269273202889E+000;3.142521939932825E+001;
8.105000000000000E+007;-3.145995890044592E+000;3.082360113940906E+001;
8.108500000000000E+007;-3.138272905384532E+000;3.005089000225362E+001;
8.112000000000000E+007;-3.148576689362863E+000;2.961879193657140E+001;
8.115500000000000E+007;-3.166487447558771E+000;2.941300493305403E+001;
8.119000000000000E+007;-3.159868603451973E+000;2.738172395281710E+001;
8.122500000000000E+007;-3.216612356872509E+000;2.682684837213879E+001;
8.126000000000000E+007;-3.259546924086649E+000;2.691059517907019E+001;
8.129500000000000E+007;-3.253410214618624E+000;2.597000648201687E+001;
8.133000000000000E+007;-3.314753596473689E+000;2.567167131712037E+001;
8.136500000000000E+007;-3.344956240675765E+000;2.528894845390016E+001;
8.140000000000000E+007;-3.358904612032961E+000;2.449217118474758E+001;
8.143500000000000E+007;-3.465630322050387E+000;2.507079043341886E+001;
8.147000000000000E+007;-3.386063700450764E+000;2.283197944284260E+001;
8.150500000000000E+007;-3.521752818393795E+000;2.336241432821175E+001;
8.154000000000000E+007;-3.602699792770729E+000;2.380275483070305E+001;
8.157500000000000E+007;-3.569148118274317E+000;2.146910340922037E+001;
8.161000000000000E+007;-3.606878615355507E+000;2.074214421027878E+001;
8.164500000000000E+007;-3.685891856277371E+000;2.052237806124463E+001;
8.168000000000000E+007;-3.757468248286920E+000;1.973714118737669E+001;
8.171500000000000E+007;-3.746157947403792E+000;1.907306161428062E+001;
8.175000000000000E+007;-3.859420637482358E+000;1.821109716852417E+001;
8.178500000000000E+007;-3.865950100101771E+000;1.659891864876656E+001;
8.182000000000000E+007;-3.994932308271608E+000;1.835183691534679E+001;
8.185500000000000E+007;-3.988459682661429E+000;1.684306255702354E+001;
8.189000000000000E+007;-3.967278772697153E+000;1.545400035344814E+001;
8.192500000000000E+007;-4.123000713495355E+000;1.601814988640898E+001;
8.196000000000000E+007;-4.180942724916002E+000;1.567105827421642E+001;
8.199500000000000E+007;-4.296650694399495E+000;1.492403279482617E+001;
8.203000000000000E+007;-4.269060357465904E+000;1.451820072579272E+001;
8.206500000000000E+007;-4.350332051343662E+000;1.200748952043574E+001;
8.210000000000000E+007;-4.410820538360881E+000;1.106141887782319E+001;
8.213500000000000E+007;-4.518466233650295E+000;1.054213580861692E+001;
8.217000000000000E+007;-4.659347897000847E+000;1.091018936312096E+001;
8.220500000000000E+007;-4.643215138085259E+000;8.714233338467032E+000;
8.224000000000000E+007;-4.787386640726095E+000;1.006953666539333E+001;
8.227500000000000E+007;-4.760931525018572E+000;6.760869772570916E+000;
8.231000000000000E+007;-4.922389390702704E+000;7.744468073650736E+000;
8.234500000000000E+007;-5.045441396710940E+000;6.092627406419386E+000;
8.238000000000000E+007;-5.154367943025600E+000;5.640221855869472E+000;
8.241500000000000E+007;-5.340785416035023E+000;5.960227941193889E+000;
8.245000000000000E+007;-5.386010257674119E+000;3.819041460380857E+000;
8.248500000000000E+007;-5.575222464405193E+000;3.707406559032294E+000;
8.252000000000000E+007;-5.647796882478070E+000;1.743303850500642E+000;
8.255500000000000E+007;-5.753781980902464E+000;4.424798632785901E-002;
8.259000000000000E+007;-5.954121966398462E+000;-1.179798151382502E+000;
8.262500000000000E+007;-6.081521269300652E+000;-6.180166953955534E-001;
8.266000000000000E+007;-6.335421202870198E+000;3.809882123405737E-001;
8.269500000000000E+007;-6.440840108055363E+000;-1.466405701348176E+000;
8.273000000000000E+007;-6.549029438795468E+000;-4.031898233733223E+000;
8.276500000000000E+007;-6.736115481728570E+000;-4.419175090337061E+000;
8.280000000000000E+007;-6.971148726260751E+000;-5.544694151895825E+000;
8.283500000000000E+007;-7.180527026686438E+000;-4.385356063399269E+000;
8.287000000000000E+007;-7.466882154325592E+000;-7.129164840018637E+000;
8.290500000000000E+007;-7.672353280684256E+000;-8.653368789881530E+000;
8.294000000000000E+007;-7.833325185016179E+000;-8.442477002184964E+000;
8.297500000000000E+007;-8.107133782744889E+000;-1.092186629357300E+001;
8.301000000000000E+007;-8.466084971611229E+000;-1.071741261541205E+001;
8.304500000000000E+007;-8.774061841343453E+000;-1.061909980522793E+001;
8.308000000000000E+007;-8.944782271396926E+000;-1.359250643625346E+001;
8.311500000000000E+007;-9.531315292913297E+000;-1.433672303983659E+001;
8.315000000000000E+007;-9.740202499368948E+000;-1.616423372559156E+001;
8.318500000000000E+007;-1.026948898655800E+001;-1.485677476804363E+001;
8.322000000000000E+007;-1.065718844563124E+001;-1.756145088989542E+001;
8.325500000000000E+007;-1.113888080947608E+001;-1.646195756310721E+001;
8.329000000000000E+007;-1.153819636754488E+001;-1.671404924027694E+001;
8.332500000000000E+007;-1.212309369795817E+001;-1.814817335843988E+001;
8.336000000000000E+007;-1.269420228251768E+001;-1.788759614862806E+001;
8.339500000000000E+007;-1.332839584648892E+001;-1.937512953208618E+001;
8.343000000000000E+007;-1.419127073458888E+001;-1.614858521954335E+001;
8.346500000000000E+007;-1.476021466477613E+001;-1.749226784006868E+001;
8.350000000000000E+007;-1.574968087739320E+001;-1.673992124415207E+001;
8.353500000000000E+007;-1.673292296602417E+001;-1.539043768255325E+001;
8.357000000000000E+007;-1.754777213081548E+001;-1.318376998118909E+001;
8.360500000000000E+007;-1.885690709869605E+001;-1.036383376616334E+001;
8.364000000000000E+007;-1.989117456357969E+001;-5.805074257446496E+000;
8.367500000000000E+007;-2.151406904308174E+001;3.578013103587858E+000;
8.371000000000000E+007;-2.229488959997240E+001;1.354481232648737E+001;
8.374500000000000E+007;-2.351652575637977E+001;2.976257993878742E+001;
8.378000000000000E+007;-2.297575093361964E+001;4.180101081713870E+001;
8.381500000000000E+007;-2.245059553991944E+001;5.556247979052636E+001;
8.385000000000000E+007;-2.139988371543381E+001;6.904919441880898E+001;
8.388500000000000E+007;-1.996653903111518E+001;7.524660139439358E+001;
8.392000000000000E+007;-1.895111497726020E+001;8.155252147741287E+001;
8.395500000000000E+007;-1.758253668519434E+001;8.372662507112713E+001;
8.399000000000000E+007;-1.656434605277633E+001;8.772925803789190E+001;
8.402500000000000E+007;-1.549082695267947E+001;9.067130131177416E+001;
8.406000000000000E+007;-1.466476303235587E+001;8.784338002937643E+001;
8.409500000000000E+007;-1.400682956660648E+001;9.196658641143078E+001;
8.413000000000000E+007;-1.304310376860632E+001;9.002673295110473E+001;
8.416500000000000E+007;-1.240516766219212E+001;8.790550895119721E+001;
8.420000000000000E+007;-1.173352555844770E+001;8.994851730075200E+001;
8.423500000000000E+007;-1.115916601534038E+001;8.892136632238292E+001;
8.427000000000000E+007;-1.067664067652704E+001;8.852683673690238E+001;
8.430500000000000E+007;-1.016560398051182E+001;8.916026688280736E+001;
8.434000000000000E+007;-9.576922130614147E+000;8.558627384001835E+001;
8.437500000000000E+007;-9.216112871735662E+000;8.425236459529157E+001;
8.441000000000000E+007;-8.930154794513591E+000;8.383526295147860E+001;
8.444500000000000E+007;-8.406570219833981E+000;8.196946235209765E+001;
8.448000000000000E+007;-8.220458770056942E+000;8.480181989177977E+001;
8.451500000000000E+007;-7.884202259718518E+000;8.163224158271358E+001;
8.455000000000000E+007;-7.610257876902243E+000;8.162375481894293E+001;
8.458500000000000E+007;-7.316227738754694E+000;8.001462549997999E+001;
8.462000000000000E+007;-7.009188399666670E+000;7.909928067920677E+001;
8.465500000000000E+007;-6.811572203159823E+000;7.710175811215174E+001;
8.469000000000000E+007;-6.537369432568909E+000;7.628729663287851E+001;
8.472500000000000E+007;-6.342419955008305E+000;7.474275534453003E+001;
8.476000000000000E+007;-6.201696014293170E+000;7.492040856617602E+001;
8.479500000000000E+007;-5.864567896493161E+000;7.286844460109174E+001;
8.483000000000000E+007;-5.750914652431569E+000;7.182052024732964E+001;
8.486500000000000E+007;-5.585512422817949E+000;6.990965760981131E+001;
8.490000000000000E+007;-5.362976845267719E+000;6.950982633153478E+001;
8.493500000000000E+007;-5.180676810035030E+000;6.790791467251779E+001;
8.497000000000000E+007;-5.157386135281731E+000;6.800860111039567E+001;
8.500500000000000E+007;-5.000771429124860E+000;6.674167103604341E+001;
8.504000000000000E+007;-4.804382544970950E+000;6.451208538627387E+001;
8.507500000000000E+007;-4.765116667636425E+000;6.429819356667568E+001;
8.511000000000000E+007;-4.644605932421979E+000;6.379503503713683E+001;
8.514500000000000E+007;-4.558762635186494E+000;6.368064384315215E+001;
8.518000000000000E+007;-4.393686798652362E+000;6.016845596542666E+001;
8.521500000000000E+007;-4.304357978099348E+000;5.947540784430353E+001;
8.525000000000000E+007;-4.255053036817454E+000;6.052166701057229E+001;
8.528500000000000E+007;-4.191115952170171E+000;5.883019393231515E+001;
8.532000000000000E+007;-4.059294812841931E+000;5.758715260434862E+001;
8.535500000000000E+007;-3.976019282882210E+000;5.527229496129522E+001;
8.539000000000000E+007;-3.964295506570486E+000;5.746231049309103E+001;
8.542500000000000E+007;-3.831896685461514E+000;5.418524102456556E+001;
8.546000000000000E+007;-3.811085170175221E+000;5.494426581444777E+001;
8.549500000000000E+007;-3.706438264744380E+000;5.228376423422370E+001;
8.553000000000000E+007;-3.675941967806564E+000;5.255556955055270E+001;
8.556500000000000E+007;-3.588434032352692E+000;5.158084881739329E+001;
8.560000000000000E+007;-3.538363834003770E+000;5.016208838560104E+001;
8.563500000000000E+007;-3.480010421546639E+000;4.954963204144906E+001;
8.567000000000000E+007;-3.421385026485681E+000;4.782323615772829E+001;
8.570500000000000E+007;-3.407011262324070E+000;4.783405312801692E+001;
8.574000000000000E+007;-3.337944839157648E+000;4.754313876609152E+001;
8.577500000000000E+007;-3.307705271050788E+000;4.572193291833549E+001;
8.581000000000000E+007;-3.316003915399608E+000;4.564811037169057E+001;
8.584500000000000E+007;-3.269304343237721E+000;4.516240683721225E+001;
8.588000000000000E+007;-3.222667575484205E+000;4.445901300498791E+001;
8.591500000000000E+007;-3.253651410987129E+000;4.467772673228959E+001;
8.595000000000000E+007;-3.183607965536250E+000;4.434641904980638E+001;
8.598500000000000E+007;-3.097228190885085E+000;4.277438854967901E+001;
8.602000000000000E+007;-3.135975015106336E+000;4.229440599945292E+001;
8.605500000000000E+007;-3.093395861627245E+000;4.123133539894485E+001;
8.609000000000000E+007;-3.002188288080302E+000;3.879159268296798E+001;
8.612500000000000E+007;-3.049187234645526E+000;3.973780196116225E+001;
8.616000000000000E+007;-2.975967114772826E+000;3.879445020633867E+001;
8.619500000000000E+007;-2.901701807610401E+000;3.713749487713646E+001;
8.623000000000000E+007;-2.956460751032517E+000;3.738497994149650E+001;
8.626500000000000E+007;-2.921186100432041E+000;3.753897538282809E+001;
8.630000000000000E+007;-2.844178289914173E+000;3.588231754153950E+001;
8.633500000000000E+007;-2.890343233112906E+000;3.563459661719907E+001;
8.637000000000000E+007;-2.849368098241432E+000;3.460068287382961E+001;
8.640500000000000E+007;-2.927987532700970E+000;3.695609789303646E+001;
8.644000000000000E+007;-2.840207343167073E+000;3.479957228910751E+001;
8.647500000000000E+007;-2.870730045107290E+000;3.374534248554107E+001;
8.651000000000000E+007;-2.817994949751197E+000;3.292294104834972E+001;
8.654500000000000E+007;-2.790800621278458E+000;3.260579740321234E+001;
8.658000000000000E+007;-2.772890330759328E+000;3.196966233313087E+001;
8.661500000000000E+007;-2.726322215147398E+000;3.030953998251558E+001;
8.665000000000000E+007;-2.701740969524833E+000;2.926560419695959E+001;
8.668500000000000E+007;-2.716679206574452E+000;3.021649148781437E+001;
8.672000000000000E+007;-2.763387769664113E+000;2.967806100838087E+001;
8.675500000000000E+007;-2.745960486049051E+000;2.992736850677972E+001;
8.679000000000000E+007;-2.767765253128450E+000;2.833016425278234E+001;
8.682500000000000E+007;-2.765672822534435E+000;2.875768983481068E+001;
8.686000000000000E+007;-2.749007110836562E+000;2.752358448910502E+001;
8.689500000000000E+007;-2.705747299295793E+000;2.680207262461787E+001;
8.693000000000000E+007;-2.716086324621275E+000;2.619720413421977E+001;
8.696500000000000E+007;-2.770030111989434E+000;2.697798099167726E+001;
8.700000000000000E+007;-2.697638215694163E+000;2.514192993386800E+001;
