# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-2.499922198096714E+000;4.491160834399588E+001;
8.003500000000000E+007;-2.465901204171225E+000;4.396104114641703E+001;
8.007000000000000E+007;-2.528619461286747E+000;4.530819295318128E+001;
8.010500000000000E+007;-2.554205453427575E+000;4.448376845959090E+001;
8.014000000000000E+007;-2.558995288319453E+000;4.350277536575008E+001;
8.017500000000000E+007;-2.567962064136717E+000;4.318152802661694E+001;
8.021000000000000E+007;-2.544807929653126E+000;4.222454151983828E+001;
8.024500000000000E+007;-2.580496504114096E+000;4.332102517539080E+001;
8.028000000000000E+007;-2.584605929787688E+000;4.172990679816855E+001;
8.031500000000000E+007;-2.581315060704921E+000;4.081242072554204E+001;
8.035000000000000E+007;-2.673378453882042E+000;4.133609637212948E+001;
8.038500000000000E+007;-2.632571680622576E+000;4.050006348710434E+001;
8.042000000000000E+007;-2.630814443434580E+000;3.984732330332248E+001;
8.045500000000000E+007;-2.674140662922273E+000;4.012706528080356E+001;
8.049000000000000E+007;-2.716384658538277E+000;3.914270034987311E+001;
8.052500000000000E+007;-2.746581750705408E+000;4.056375086482579E+001;
8.056000000000000E+007;-2.644249990626110E+000;3.701971534296049E+001;
8.059500000000000E+007;-2.721652918662998E+000;3.747697728586156E+001;
8.063000000000000E+007;-2.747063904300218E+000;3.775009203926108E+001;
8.066500000000000E+007;-2.760871958409767E+000;3.694121546768056E+001;
8.070000000000000E+007;-2.726743222204841E+000;3.534001507080129E+001;
8.073500000000000E+007;-2.828839400410659E+000;3.658636859948256E+001;
8.077000000000000E+007;-2.837136571927998E+000;3.571588876535820E+001;
8.080500000000000E+007;-2.836014210063380E+000;3.604080580274710E+001;
8.084000000000000E+007;-2.869692228810022E+000;3.472193096434069E+001;
8.087500000000000E+007;-2.844477779455851E+000;3.404936182060988E+001;
8.091000000000000E+007;-2.859401219208917E+000;3.299635634580081E+001;
8.094500000000000E+007;-2.857729863909597E+000;3.229199579563973E+001;
8.098000000000000E+007;-2.967605726635654E+000;3.355134059470389E+001;
8.101500000000000E+007;-2.924493754667227E+000;3.049173409237163E+001;
8.105000000000000E+007;-2.976816158450280E+000;3.084695412646096E+001;
8.108500000000000E+007;-2.943933511588235E+000;3.070843860851855E+001;
8.112000000000000E+007;-3.042116860167549E+000;3.149746065140765E+001;
8.115500000000000E+007;-3.101338473234825E+000;3.065586475641169E+001;
