# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-2.523502614248954E+000;4.236185917970747E+001;
8.003500000000000E+007;-2.491528240093175E+000;4.261679067451669E+001;
8.007000000000000E+007;-2.513270293974135E+000;4.182122653584199E+001;
8.010500000000000E+007;-2.461336555088873E+000;4.118126089817248E+001;
8.014000000000000E+007;-2.510384824810073E+000;4.145634534583009E+001;
8.017500000000000E+007;-2.555738834244981E+000;4.088526534010141E+001;
8.021000000000000E+007;-2.573738407455377E+000;4.092713653493437E+001;
8.024500000000000E+007;-2.590296934116452E+000;3.995352506257801E+001;
8.028000000000000E+007;-2.556424459083137E+000;3.934030041321462E+001;
8.031500000000000E+007;-2.627020490225617E+000;3.794096454036727E+001;
8.035000000000000E+007;-2.596425102162651E+000;3.848270182825679E+001;
8.038500000000000E+007;-2.617385762364902E+000;3.803116160576974E+001;
8.042000000000000E+007;-2.674830075623565E+000;3.792086440276378E+001;
8.045500000000000E+007;-2.650339216527748E+000;3.722596791324460E+001;
8.049000000000000E+007;-2.655729163354774E+000;3.597765810215572E+001;
8.052500000000000E+007;-2.667971753184284E+000;3.591321628235828E+001;
8.056000000000000E+007;-2.730182497045600E+000;3.677034152183264E+001;
8.059500000000000E+007;-2.693437734471469E+000;3.378623269450152E+001;
8.063000000000000E+007;-2.732242971348855E+000;3.499344058123826E+001;
8.066500000000000E+007;-2.727957914318287E+000;3.357486590594206E+001;
8.070000000000000E+007;-2.730172758723353E+000;3.302079711522651E+001;
8.073500000000000E+007;-2.798460924374748E+000;3.328106858340138E+001;
8.077000000000000E+007;-2.854552281021342E+000;3.347214519265633E+001;
8.080500000000000E+007;-2.807946137300633E+000;3.298133283551400E+001;
8.084000000000000E+007;-2.873689123673983E+000;3.346441573099241E+001;
8.087500000000000E+007;-2.814581957918811E+000;2.932861704813777E+001;
8.091000000000000E+007;-2.896395829706208E+000;3.064409736092861E+001;
8.094500000000000E+007;-2.935882301408012E+000;3.094776148864794E+001;
8.098000000000000E+007;-2.875479917813004E+000;2.802418366267325E+001;
8.101500000000000E+007;-2.919706127679825E+000;2.755467063495327E+001;
8.105000000000000E+007;-2.957146774076882E+000;2.800927646771039E+001;
8.108500000000000E+007;-2.988644888050069E+000;2.731193087316904E+001;
8.112000000000000E+007;-2.952903429229371E+000;2.554769429567035E+001;
8.115500000000000E+007;-3.047216987593987E+000;2.565091786808343E+001;
8.119000000000000E+007;-3.039326534857357E+000;2.466056842403552E+001;
8.122500000000000E+007;-3.059178052591751E+000;2.475727154136107E+001;
8.126000000000000E+007;-3.169673910955789E+000;2.528023968367752E+001;
8.129500000000000E+007;-3.137301662036573E+000;2.411823459685436E+001;
8.133000000000000E+007;-3.145455105587193E+000;2.335266188472593E+001;
8.136500000000000E+007;-3.120396267233997E+000;2.130599050397461E+001;
8.140000000000000E+007;-3.212225984975646E+000;2.216672976340029E+001;
8.143500000000000E+007;-3.318597471332935E+000;2.220959626936567E+001;
8.147000000000000E+007;-3.326402606695702E+000;2.149087498609379E+001;
8.150500000000000E+007;-3.374559930714776E+000;2.127159903543207E+001;
8.154000000000000E+007;-3.389893948884077E+000;1.968321389478563E+001;
8.157500000000000E+007;-3.473053444809147E+000;1.971881364709403E+001;
8.161000000000000E+007;-3.419854585846385E+000;1.787222309120612E+001;
8.164500000000000E+007;-3.462917952229219E+000;1.639922572759559E+001;
8.168000000000000E+007;-3.587894113726844E+000;1.832366518938273E+001;
8.171500000000000E+007;-3.654328002025827E+000;1.740312947301829E+001;
8.175000000000000E+007;-3.677847733954617E+000;1.596816432486540E+001;
8.178500000000000E+007;-3.672567683923787E+000;1.467264134638539E+001;
8.182000000000000E+007;-3.714357947697940E+000;1.307354124312601E+001;
8.185500000000000E+007;-3.773956573676510E+000;1.268343314252576E+001;
8.189000000000000E+007;-3.785096446779737E+000;1.168692078499694E+001;
8.192500000000000E+007;-3.922510318820842E+000;1.211148747187774E+001;
8.196000000000000E+007;-4.005252052004906E+000;1.228401989188875E+001;
8.199500000000000E+007;-4.024086789647586E+000;1.101880006142400E+001;
8.203000000000000E+007;-4.074683207535309E+000;1.004178160694205E+001;
8.206500000000000E+007;-4.214062282676635E+000;9.411041130545124E+000;
8.210000000000000E+007;-4.230192480606502E+000;7.124254636292160E+000;
8.213500000000000E+007;-4.283460070797888E+000;5.959005151559679E+000;
8.217000000000000E+007;-4.351518420919230E+000;5.367626840333874E+000;
8.220500000000000E+007;-4.442595700089744E+000;6.838708925625842E+000;
