# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-2.936439474313533E+000;3.098963784414929E+001;
8.003500000000000E+007;-2.983728879546749E+000;3.137405436780125E+001;
8.007000000000000E+007;-3.015408284145273E+000;3.166486811403355E+001;
8.010500000000000E+007;-3.009241065001041E+000;3.009903335780273E+001;
8.014000000000000E+007;-3.062369260810454E+000;3.040959229806775E+001;
8.017500000000000E+007;-3.108552114724478E+000;3.018016372182726E+001;
8.021000000000000E+007;-3.116144009657849E+000;2.950604983624302E+001;
8.024500000000000E+007;-3.066758230568393E+000;2.701218113702474E+001;
8.028000000000000E+007;-3.134173128929737E+000;2.795275397717528E+001;
8.031500000000000E+007;-3.105319900138851E+000;2.541965359978265E+001;
8.035000000000000E+007;-3.151484523607384E+000;2.517781897164184E+001;
8.038500000000000E+007;-3.235313238017565E+000;2.533845013159936E+001;
8.042000000000000E+007;-3.233649001486058E+000;2.533373714447489E+001;
8.045500000000000E+007;-3.286186448401947E+000;2.498960235893205E+001;
8.049000000000000E+007;-3.389770954671696E+000;2.430144362611495E+001;
8.052500000000000E+007;-3.318487670209438E+000;2.328211169441016E+001;
8.056000000000000E+007;-3.397215997351564E+000;2.210641232183517E+001;
8.059500000000000E+007;-3.457499326576157E+000;2.194329724307688E+001;
8.063000000000000E+007;-3.513911895278173E+000;2.107212774235882E+001;
8.066500000000000E+007;-3.526225131831752E+000;2.038363568134370E+001;
8.070000000000000E+007;-3.535062710221284E+000;1.929439892892865E+001;
8.073500000000000E+007;-3.540197905553189E+000;1.774070645674753E+001;
8.077000000000000E+007;-3.552601898071707E+000;1.633817559130739E+001;
8.080500000000000E+007;-3.731938134648592E+000;1.782714924443712E+001;
8.084000000000000E+007;-3.685490151682684E+000;1.602832068812649E+001;
8.087500000000000E+007;-3.770103509019791E+000;1.644186081726032E+001;
8.091000000000000E+007;-3.856064527425337E+000;1.648955036552793E+001;
8.094500000000000E+007;-3.839505586604386E+000;1.466848568895729E+001;
8.098000000000000E+007;-3.972788205621660E+000;1.568952553196293E+001;
8.101500000000000E+007;-3.994177478111697E+000;1.301740072262413E+001;
8.105000000000000E+007;-4.082328838460434E+000;1.289185383999264E+001;
8.108500000000000E+007;-4.139662393695655E+000;1.335863886610609E+001;
8.112000000000000E+007;-4.202209150461458E+000;1.068956084737355E+001;
8.115500000000000E+007;-4.204087575750201E+000;9.386426036298854E+000;
8.119000000000000E+007;-4.329256294756625E+000;8.872773063437560E+000;
8.122500000000000E+007;-4.406025819812047E+000;8.746211530250793E+000;
8.126000000000000E+007;-4.482039077823253E+000;7.693351827715631E+000;
8.129500000000000E+007;-4.567098274065200E+000;6.691062777697950E+000;
8.133000000000000E+007;-4.706517078579523E+000;6.172832929868461E+000;
8.136500000000000E+007;-4.768115617381344E+000;6.161364575029648E+000;
8.140000000000000E+007;-4.846552552789785E+000;5.078777333217230E+000;
8.143500000000000E+007;-4.988127316012868E+000;5.336385538422072E+000;
8.147000000000000E+007;-5.027455238772362E+000;1.952164986612837E+000;
8.150500000000000E+007;-5.130958743548900E+000;7.633760424114815E-001;
8.154000000000000E+007;-5.273776456279053E+000;3.933859503293588E-001;
8.157500000000000E+007;-5.370428569853939E+000;-1.083091212505211E+000;
8.161000000000000E+007;-5.450088776146896E+000;-1.720982779659120E+000;
8.164500000000000E+007;-5.618259360884126E+000;-3.363383682033576E+000;
8.168000000000000E+007;-5.722202450652921E+000;-4.638906631732611E+000;
8.171500000000000E+007;-5.842472565641500E+000;-5.935062697964797E+000;
8.175000000000000E+007;-6.145267561302386E+000;-4.915238345700499E+000;
8.178500000000000E+007;-6.274652135423488E+000;-6.344163260882834E+000;
8.182000000000000E+007;-6.415483523106892E+000;-7.622527332129667E+000;
8.185500000000000E+007;-6.592505346130301E+000;-7.596261910917053E+000;
8.189000000000000E+007;-6.852800465991539E+000;-9.534370767349795E+000;
8.192500000000000E+007;-6.935228160060035E+000;-1.176633571502078E+001;
8.196000000000000E+007;-7.251344431621933E+000;-1.291731323052940E+001;
8.199500000000000E+007;-7.434506455560686E+000;-1.510141625925186E+001;
8.203000000000000E+007;-7.689867675892577E+000;-1.493947766213914E+001;
8.206500000000000E+007;-7.899524387964926E+000;-1.651021246064686E+001;
8.210000000000000E+007;-8.268842195124810E+000;-1.735473163596043E+001;
8.213500000000000E+007;-8.546001556018053E+000;-1.930685972434226E+001;
8.217000000000000E+007;-8.825191252093379E+000;-1.950665009629935E+001;
8.220500000000000E+007;-9.234417117129761E+000;-2.281889670091528E+001;
8.224000000000000E+007;-9.537457109284084E+000;-2.419108787860890E+001;
8.227500000000000E+007;-9.920986830823438E+000;-2.382390740040996E+001;
8.231000000000000E+007;-1.041174894927081E+001;-2.625865927053094E+001;
8.234500000000000E+007;-1.092144761382606E+001;-2.703159253223447E+001;
8.238000000000000E+007;-1.126979790552890E+001;-2.963332789993135E+001;
8.241500000000000E+007;-1.189403133912182E+001;-3.057446753560606E+001;
8.245000000000000E+007;-1.255109897548132E+001;-3.145116118613840E+001;
8.248500000000000E+007;-1.331443978184608E+001;-3.338316889565407E+001;
8.252000000000000E+007;-1.390915950954757E+001;-3.453784433171097E+001;
8.255500000000000E+007;-1.486968292178020E+001;-3.461934873634321E+001;
8.259000000000000E+007;-1.565901416048330E+001;-3.630765297889871E+001;
8.262500000000000E+007;-1.659194473952164E+001;-3.800921383182374E+001;
8.266000000000000E+007;-1.793182558290393E+001;-3.927180627460135E+001;
8.269500000000000E+007;-1.948771456878407E+001;-4.247879221673058E+001;
8.273000000000000E+007;-2.094512332355540E+001;-4.299707748744493E+001;
8.276500000000000E+007;-2.350676653038624E+001;-4.161517183675497E+001;
8.280000000000000E+007;-2.696692681348781E+001;-3.946605200114935E+001;
