# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-4.534484135348142E+000;-2.697684144463952E+001;
8.003500000000000E+007;-4.590890573195323E+000;-2.925330526785211E+001;
8.007000000000000E+007;-4.581351526527485E+000;-2.988900664787381E+001;
8.010500000000000E+007;-4.641171045727764E+000;-3.012964153689558E+001;
8.014000000000000E+007;-4.733083670982278E+000;-2.944643631948405E+001;
8.017500000000000E+007;-4.797951756225047E+000;-2.972430988362584E+001;
8.021000000000000E+007;-4.837411770902969E+000;-3.002317194034852E+001;
8.024500000000000E+007;-4.910375838354890E+000;-3.198153736835715E+001;
8.028000000000000E+007;-5.036560410654902E+000;-3.354047738130036E+001;
8.031500000000000E+007;-5.014316970483749E+000;-3.327125326058744E+001;
8.035000000000000E+007;-5.155678264716341E+000;-3.188289043555990E+001;
8.038500000000000E+007;-5.226684209290052E+000;-3.532006457044302E+001;
8.042000000000000E+007;-5.234462841116589E+000;-3.577198433077705E+001;
8.045500000000000E+007;-5.390110459309632E+000;-3.333092341504447E+001;
8.049000000000000E+007;-5.469762451346145E+000;-3.603480438542920E+001;
8.052500000000000E+007;-5.536035620422645E+000;-3.589250586043967E+001;
8.056000000000000E+007;-5.626508635353980E+000;-3.623737112763572E+001;
8.059500000000000E+007;-5.754829559138802E+000;-3.630691096827520E+001;
8.063000000000000E+007;-5.803523733431296E+000;-3.678647445895740E+001;
8.066500000000000E+007;-5.898221295420089E+000;-3.688094906252107E+001;
8.070000000000000E+007;-6.034911063283415E+000;-3.728618762653849E+001;
8.073500000000000E+007;-6.109440507314724E+000;-3.540927928276624E+001;
8.077000000000000E+007;-6.104652379855747E+000;-3.731268217895255E+001;
8.080500000000000E+007;-6.299591638646047E+000;-3.679002939384808E+001;
8.084000000000000E+007;-6.245237450320440E+000;-3.741210202650360E+001;
8.087500000000000E+007;-6.317229986079735E+000;-3.427739966522832E+001;
8.091000000000000E+007;-6.383131968337308E+000;-3.638600527245994E+001;
8.094500000000000E+007;-6.372632804182621E+000;-3.609534448510014E+001;
8.098000000000000E+007;-6.300496081733249E+000;-3.487917753838872E+001;
8.101500000000000E+007;-6.261156016166069E+000;-3.439407818376820E+001;
8.105000000000000E+007;-6.228941308826324E+000;-3.741077855625679E+001;
8.108500000000000E+007;-6.119764355611779E+000;-3.553108232864250E+001;
8.112000000000000E+007;-6.027535704258850E+000;-3.774996802885499E+001;
8.115500000000000E+007;-5.995144413556855E+000;-3.600128247659096E+001;
8.119000000000000E+007;-5.911658205577751E+000;-3.730836936234896E+001;
8.122500000000000E+007;-5.799703829946918E+000;-3.846432366790577E+001;
8.126000000000000E+007;-5.822341894236830E+000;-3.907507414678351E+001;
8.129500000000000E+007;-5.829467455756998E+000;-3.993896116071181E+001;
8.133000000000000E+007;-5.816545814158424E+000;-4.337231422530965E+001;
8.136500000000000E+007;-5.826059308159666E+000;-4.301867488212625E+001;
