# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-5.603039286110162E+000;-3.283405687386291E+001;
8.003500000000000E+007;-5.755388358558926E+000;-3.439931732663302E+001;
8.007000000000000E+007;-5.678557629612968E+000;-3.672343702019812E+001;
8.010500000000000E+007;-5.765828655378613E+000;-3.610509266901983E+001;
8.014000000000000E+007;-5.934672400642799E+000;-3.665154293534723E+001;
8.017500000000000E+007;-6.015523196899300E+000;-3.616830049918792E+001;
8.021000000000000E+007;-6.121012880250240E+000;-3.655185729167326E+001;
8.024500000000000E+007;-6.274237091638441E+000;-3.850191750251199E+001;
8.028000000000000E+007;-6.400910209250786E+000;-3.912004617563745E+001;
8.031500000000000E+007;-6.415127927603604E+000;-4.031071098558109E+001;
8.035000000000000E+007;-6.599911334667458E+000;-4.027242930923650E+001;
8.038500000000000E+007;-6.752066398440043E+000;-4.090246729123279E+001;
8.042000000000000E+007;-6.804913750747455E+000;-4.022408425938076E+001;
8.045500000000000E+007;-6.950863166929112E+000;-4.244012483109658E+001;
8.049000000000000E+007;-7.086942735497643E+000;-4.231370603055106E+001;
8.052500000000000E+007;-7.263080161625012E+000;-4.204736391321457E+001;
8.056000000000000E+007;-7.324014141079863E+000;-4.084369395270237E+001;
8.059500000000000E+007;-7.634317106495354E+000;-4.113972327158243E+001;
8.063000000000000E+007;-7.675690578052604E+000;-4.151231293288171E+001;
8.066500000000000E+007;-7.821239160454086E+000;-4.316017833522187E+001;
8.070000000000000E+007;-7.960495133059964E+000;-4.109392779880444E+001;
8.073500000000000E+007;-8.108990813037421E+000;-4.144753947356345E+001;
8.077000000000000E+007;-8.195131245129360E+000;-4.054785023408033E+001;
8.080500000000000E+007;-8.253866445838645E+000;-4.192833416269035E+001;
8.084000000000000E+007;-8.379803187893190E+000;-3.988757125888230E+001;
8.087500000000000E+007;-8.247317412916789E+000;-3.852467332451955E+001;
8.091000000000000E+007;-8.338173100890764E+000;-3.998216254498942E+001;
8.094500000000000E+007;-8.259380202683710E+000;-3.832350598547445E+001;
8.098000000000000E+007;-8.079044084627954E+000;-3.823172437932615E+001;
8.101500000000000E+007;-8.077908308181863E+000;-3.739611693372489E+001;
8.105000000000000E+007;-8.021502178018951E+000;-3.727379388530031E+001;
8.108500000000000E+007;-7.798000895152343E+000;-3.878781535884888E+001;
8.112000000000000E+007;-7.719597832616742E+000;-3.959757147888583E+001;
8.115500000000000E+007;-7.646011685852203E+000;-3.949156323660958E+001;
8.119000000000000E+007;-7.547549198769413E+000;-4.279837267697126E+001;
8.122500000000000E+007;-7.519889844059944E+000;-4.230390362806460E+001;
8.126000000000000E+007;-7.481514573117154E+000;-4.429760271212967E+001;
8.129500000000000E+007;-7.554397654057463E+000;-4.631185303492364E+001;
8.133000000000000E+007;-7.467107778300282E+000;-4.669704779276738E+001;
8.136500000000000E+007;-7.606120891469900E+000;-4.806603906720518E+001;
8.140000000000000E+007;-7.746482715340248E+000;-5.058411025729345E+001;
8.143500000000000E+007;-7.777827104775926E+000;-5.066938716306385E+001;
8.147000000000000E+007;-7.852277244449914E+000;-5.216595960921749E+001;
8.150500000000000E+007;-8.045609008303428E+000;-5.454486980545732E+001;
8.154000000000000E+007;-8.108438523700819E+000;-5.626907537634248E+001;
8.157500000000000E+007;-8.211293873548383E+000;-5.651285201005179E+001;
