# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
7.000000000000000E+007;-8.325133780540869E-001;1.431447636139778E+001;
7.010000000000000E+007;-8.501133023792993E-001;1.345668171240741E+001;
7.020000000000000E+007;-8.292739485388840E-001;1.288991914813745E+001;
7.030000000000000E+007;-8.561847247793478E-001;1.336965478033938E+001;
7.040000000000000E+007;-8.364610138054409E-001;1.361795185192546E+001;
7.050000000000000E+007;-8.607483548283620E-001;1.387809654535211E+001;
7.060000000000000E+007;-8.223268318184190E-001;1.278582688654239E+001;
7.070000000000000E+007;-8.530426124787788E-001;1.356650649267576E+001;
7.080000000000000E+007;-8.424415743576744E-001;1.220601122630161E+001;
7.090000000000000E+007;-8.597724025650640E-001;1.361794076794886E+001;
7.100000000000000E+007;-8.558453331552066E-001;1.245274213827012E+001;
7.110000000000000E+007;-9.229506836831073E-001;1.493752258007315E+001;
7.120000000000000E+007;-9.012609847720647E-001;1.415834515353165E+001;
7.130000000000000E+007;-8.289378569403938E-001;1.140300777978393E+001;
7.140000000000000E+007;-8.952614781376935E-001;1.345821768958067E+001;
7.150000000000000E+007;-8.824691502605374E-001;1.226044944097917E+001;
7.160000000000000E+007;-8.659810502528608E-001;1.204590240663164E+001;
7.170000000000000E+007;-8.896114893774553E-001;1.214938477664245E+001;
7.180000000000000E+007;-8.404282117477202E-001;1.149195362061777E+001;
7.190000000000000E+007;-9.032452522301240E-001;1.244268005009551E+001;
7.200000000000000E+007;-9.031611772273575E-001;1.254796018782361E+001;
7.210000000000000E+007;-8.781616034102534E-001;1.182843468848697E+001;
7.220000000000000E+007;-9.285833970995079E-001;1.264082638632788E+001;
7.230000000000000E+007;-9.117313956178450E-001;1.225214655265924E+001;
7.240000000000000E+007;-8.834646858265463E-001;1.130615486702336E+001;
7.250000000000000E+007;-9.083836865611746E-001;1.177403451165578E+001;
7.260000000000000E+007;-8.638920814401057E-001;1.016827843415597E+001;
7.270000000000000E+007;-9.154916471059987E-001;1.135661905506737E+001;
7.280000000000000E+007;-8.896015503672479E-001;1.138285781737637E+001;
7.290000000000000E+007;-9.018688676416847E-001;1.111881696732970E+001;
7.300000000000000E+007;-9.164995062781394E-001;1.067882635787505E+001;
7.310000000000000E+007;-9.356094072422734E-001;1.193186289416022E+001;
7.320000000000000E+007;-9.453630456484565E-001;1.109535169840238E+001;
7.330000000000000E+007;-9.251104043407710E-001;1.061617892307631E+001;
7.340000000000000E+007;-9.123497050041658E-001;9.453845236457127E+000;
7.350000000000000E+007;-9.275884914622530E-001;1.043644959769937E+001;
7.360000000000000E+007;-9.946723664040414E-001;1.194653792337186E+001;
7.370000000000000E+007;-9.208106488525920E-001;9.489133619714357E+000;
7.380000000000000E+007;-9.381436333273056E-001;9.986106945885162E+000;
7.390000000000000E+007;-9.912588799056176E-001;1.110176598242809E+001;
7.400000000000000E+007;-9.788702929544241E-001;1.011168819912296E+001;
7.410000000000000E+007;-9.400696176072861E-001;9.101993984448111E+000;
7.420000000000000E+007;-1.010461378854295E+000;1.031749279705098E+001;
7.430000000000000E+007;-9.462276113191175E-001;9.488571141626197E+000;
7.440000000000000E+007;-9.381445290658429E-001;8.721973012074455E+000;
7.450000000000000E+007;-9.867368142808245E-001;8.699934707458347E+000;
7.460000000000000E+007;-1.056124360251382E+000;1.001592743896080E+001;
7.470000000000000E+007;-9.891658575713054E-001;8.141977084278413E+000;
7.480000000000000E+007;-1.023225064023943E+000;8.425534580472426E+000;
7.490000000000000E+007;-1.038289936271274E+000;8.918232776369010E+000;
7.500000000000000E+007;-1.017075442365312E+000;8.051926325125526E+000;
7.510000000000000E+007;-1.053167223759093E+000;9.286594928769597E+000;
7.520000000000000E+007;-1.050353986966912E+000;8.332874045774506E+000;
7.530000000000000E+007;-1.100858445570465E+000;9.633818851921737E+000;
7.540000000000000E+007;-1.064187692766630E+000;7.492479598626714E+000;
7.550000000000000E+007;-1.073854078156448E+000;7.060550899469972E+000;
7.560000000000000E+007;-1.038036743875537E+000;6.821929579031027E+000;
7.570000000000000E+007;-1.114767316905476E+000;6.905031263100183E+000;
7.580000000000000E+007;-1.093438359078432E+000;5.578202972732849E+000;
7.590000000000000E+007;-1.176111468180643E+000;8.129803733512038E+000;
