# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
7.000000000000000E+007;-8.120696298571978E-001;1.304718463450904E+001;
7.010000000000000E+007;-8.028007762361440E-001;1.175400616196629E+001;
7.020000000000000E+007;-8.245815581504716E-001;1.230140239907585E+001;
7.030000000000000E+007;-8.481484290144100E-001;1.317223701552866E+001;
7.040000000000000E+007;-8.565351912883068E-001;1.383000780299500E+001;
7.050000000000000E+007;-8.483322101408788E-001;1.230917181741569E+001;
7.060000000000000E+007;-8.406349570846470E-001;1.230670430341743E+001;
7.070000000000000E+007;-8.915454506997549E-001;1.424225163216924E+001;
7.080000000000000E+007;-8.292087590638180E-001;1.229349498139220E+001;
7.090000000000000E+007;-8.603371534976505E-001;1.251793727009627E+001;
7.100000000000000E+007;-8.417454603742895E-001;1.269272874815239E+001;
7.110000000000000E+007;-8.606527056026947E-001;1.250485103323491E+001;
7.120000000000000E+007;-8.587133706404907E-001;1.225021720087171E+001;
7.130000000000000E+007;-8.699522223168837E-001;1.207100152522162E+001;
7.140000000000000E+007;-8.788588438454115E-001;1.263894322533910E+001;
7.150000000000000E+007;-9.083459205301838E-001;1.282464436502561E+001;
7.160000000000000E+007;-8.896668776343950E-001;1.276546613588355E+001;
7.170000000000000E+007;-8.678981952305341E-001;1.132538937160821E+001;
7.180000000000000E+007;-9.123680003630534E-001;1.254100154822593E+001;
7.190000000000000E+007;-8.652282298122676E-001;1.191260669777223E+001;
7.200000000000000E+007;-8.877500354716177E-001;1.164671377001939E+001;
7.210000000000000E+007;-8.659066890055939E-001;1.016657194579180E+001;
7.220000000000000E+007;-9.094270927789064E-001;1.143503188948968E+001;
7.230000000000000E+007;-9.062971327930455E-001;1.190092594245439E+001;
7.240000000000000E+007;-8.792333536935897E-001;1.091679551418327E+001;
7.250000000000000E+007;-9.082926203075802E-001;1.203589656105313E+001;
7.260000000000000E+007;-9.011058344363260E-001;1.067220947861759E+001;
7.270000000000000E+007;-9.345539216331991E-001;1.123930936929120E+001;
7.280000000000000E+007;-8.958233425048547E-001;1.026442911061007E+001;
7.290000000000000E+007;-9.294538656461389E-001;1.120147704944163E+001;
7.300000000000000E+007;-9.197805925133915E-001;1.074519726958149E+001;
7.310000000000000E+007;-8.928012956296009E-001;9.806282981474691E+000;
7.320000000000000E+007;-9.238114890562299E-001;1.029830871709555E+001;
7.330000000000000E+007;-9.140968759116084E-001;9.917930378777019E+000;
7.340000000000000E+007;-9.472014672197938E-001;1.031968420408673E+001;
7.350000000000000E+007;-9.657116471751623E-001;1.069542777158494E+001;
7.360000000000000E+007;-9.042995866800156E-001;1.057928292529252E+001;
7.370000000000000E+007;-9.918465532814789E-001;9.764800345436425E+000;
7.380000000000000E+007;-9.378426905954388E-001;9.616123430041391E+000;
7.390000000000000E+007;-1.005172286749828E+000;9.850644308370789E+000;
7.400000000000000E+007;-9.788849068964068E-001;9.948722438807520E+000;
7.410000000000000E+007;-1.007360907672999E+000;9.621368318372067E+000;
7.420000000000000E+007;-9.866873878749942E-001;8.718808859444682E+000;
7.430000000000000E+007;-1.022985388235777E+000;9.278789554764245E+000;
7.440000000000000E+007;-9.952593198639981E-001;8.202674710190584E+000;
7.450000000000000E+007;-1.011059409460895E+000;9.293390612195973E+000;
7.460000000000000E+007;-1.036990716358132E+000;8.145028883537449E+000;
7.470000000000000E+007;-9.848573371028857E-001;7.314695317362173E+000;
7.480000000000000E+007;-1.075895660567093E+000;9.665424579080629E+000;
7.490000000000000E+007;-9.983844472541732E-001;5.985974309637427E+000;
7.500000000000000E+007;-1.078221187044189E+000;9.015757839429446E+000;
7.510000000000000E+007;-1.095732328548573E+000;8.393278504615832E+000;
7.520000000000000E+007;-1.078654520630841E+000;7.367102912984391E+000;
7.530000000000000E+007;-1.100865396865429E+000;7.797114045945104E+000;
7.540000000000000E+007;-1.099789464834079E+000;7.838307311893739E+000;
7.550000000000000E+007;-1.115184801540271E+000;7.416166586492981E+000;
7.560000000000000E+007;-1.146149569712606E+000;7.639128723699604E+000;
7.570000000000000E+007;-1.127770386683479E+000;6.184079716479769E+000;
7.580000000000000E+007;-1.125786607486506E+000;6.720878228492660E+000;
7.590000000000000E+007;-1.176146956788957E+000;7.246072896487648E+000;
7.600000000000000E+007;-1.144660846163076E+000;4.614393533029420E+000;
7.610000000000000E+007;-1.151295652288026E+000;5.258435730889334E+000;
7.620000000000000E+007;-1.172394539499342E+000;5.306148759460633E+000;
7.630000000000000E+007;-1.211218813607471E+000;6.074076004978591E+000;
7.640000000000000E+007;-1.188929582650553E+000;3.585433900668549E+000;
7.650000000000000E+007;-1.253671750585338E+000;4.840746927694170E+000;
7.660000000000000E+007;-1.281778957698724E+000;5.591919595738124E+000;
7.670000000000000E+007;-1.237157938829279E+000;2.585254648339838E+000;
7.680000000000000E+007;-1.337759026746986E+000;4.287569816246071E+000;
7.690000000000000E+007;-1.269664755672933E+000;2.788640169085521E+000;
7.700000000000000E+007;-1.354699476489699E+000;3.616262709200637E+000;
7.710000000000000E+007;-1.323253769899451E+000;2.427836913854134E+000;
7.720000000000000E+007;-1.388634362146161E+000;3.191075120749598E+000;
7.730000000000000E+007;-1.351045256841166E+000;1.478682908798747E+000;
7.740000000000000E+007;-1.406117655970788E+000;2.551508921018816E+000;
7.750000000000000E+007;-1.449463080787653E+000;9.643571825735584E-001;
7.760000000000000E+007;-1.452757527218536E+000;1.005717948605774E+000;
7.770000000000000E+007;-1.467864834163824E+000;8.193277715632013E-001;
7.780000000000000E+007;-1.479259172193221E+000;4.326106040119757E-001;
7.790000000000000E+007;-1.537256527213453E+000;-4.313914419462452E-001;
7.800000000000000E+007;-1.567716522408151E+000;-2.079709161522318E-001;
7.810000000000000E+007;-1.590115146271984E+000;-8.951563419474626E-001;
7.820000000000000E+007;-1.656999372511100E+000;-1.731635583833463E+000;
7.830000000000000E+007;-1.604050302719569E+000;-2.865638895574044E+000;
7.840000000000000E+007;-1.626833553215695E+000;-3.692574260700219E+000;
7.850000000000000E+007;-1.731967890572416E+000;-3.328532341405646E+000;
7.860000000000000E+007;-1.713589202427161E+000;-5.594624714367530E+000;
7.870000000000000E+007;-1.819231872599564E+000;-4.893947892628483E+000;
7.880000000000000E+007;-1.861292683983877E+000;-4.742281406107500E+000;
7.890000000000000E+007;-1.939816972623044E+000;-5.740154780594862E+000;
7.900000000000000E+007;-1.990214733868442E+000;-6.515195263394888E+000;
7.910000000000000E+007;-2.080660720860500E+000;-6.579663191555567E+000;
7.920000000000000E+007;-2.170448418110437E+000;-6.791006832286743E+000;
7.930000000000000E+007;-2.187047690434473E+000;-8.959642083734975E+000;
7.940000000000000E+007;-2.263652629436179E+000;-9.443366442688184E+000;
7.950000000000000E+007;-2.331303267529143E+000;-1.191626343699036E+001;
7.960000000000000E+007;-2.483125084041583E+000;-9.340698326174008E+000;
7.970000000000000E+007;-2.526554826251680E+000;-1.226605732191983E+001;
7.980000000000000E+007;-2.729826248380136E+000;-1.195447378356195E+001;
7.990000000000000E+007;-2.813430546881849E+000;-1.419265414452077E+001;
8.000000000000000E+007;-2.925604369649230E+000;-1.539987127449188E+001;
8.010000000000000E+007;-3.188954381382229E+000;-1.451357585208948E+001;
8.020000000000000E+007;-3.327170441011447E+000;-1.625035902610204E+001;
8.030000000000000E+007;-3.494489376996379E+000;-1.885436178414908E+001;
