# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.100000000000000E+007;-1.001574835057196E+000;-1.501403091361461E+002;
8.103500000000000E+007;-9.468707313710666E-001;-1.505234575431155E+002;
8.107000000000000E+007;-9.177945185735734E-001;-1.487841483535707E+002;
8.110500000000000E+007;-9.037768708208773E-001;-1.488995444740104E+002;
8.114000000000000E+007;-9.122153369414229E-001;-1.508799619311041E+002;
8.117500000000000E+007;-9.153125065050390E-001;-1.500937629090796E+002;
8.121000000000000E+007;-9.193261119044847E-001;-1.514318394671979E+002;
8.124500000000000E+007;-9.211681158385009E-001;-1.508462157424359E+002;
8.128000000000000E+007;-1.043029136384478E+000;-1.536604680078791E+002;
8.131500000000000E+007;-8.979813779835523E-001;-1.512378696362220E+002;
8.135000000000000E+007;-1.034162210038973E+000;-1.536754977482449E+002;
8.138500000000000E+007;-9.121312336103455E-001;-1.517910593772505E+002;
8.142000000000000E+007;-9.339399429459881E-001;-1.520865003790277E+002;
8.145500000000000E+007;-9.685040939032786E-001;-1.535217165425389E+002;
8.149000000000000E+007;-9.502529507375285E-001;-1.532838342968710E+002;
8.152500000000000E+007;-9.750416910365815E-001;-1.544223610587726E+002;
8.156000000000000E+007;-1.046708918334746E+000;-1.556130733630840E+002;
8.159500000000000E+007;-9.816980539682747E-001;-1.545235913416814E+002;
8.163000000000000E+007;-9.963285905120234E-001;-1.554768644612271E+002;
8.166500000000000E+007;-9.832950295400412E-001;-1.551056861211733E+002;
8.170000000000000E+007;-1.008077485956896E+000;-1.561043674423309E+002;
8.173500000000000E+007;-1.003270326103407E+000;-1.555133921783987E+002;
8.177000000000000E+007;-9.659725664176283E-001;-1.547599770955422E+002;
8.180500000000000E+007;-1.093503744800447E+000;-1.582973535881426E+002;
8.184000000000000E+007;-1.038795283802809E+000;-1.572333683950899E+002;
8.187500000000000E+007;-9.804727152951798E-001;-1.569017224870260E+002;
8.191000000000000E+007;-1.062610491132230E+000;-1.582010692543317E+002;
8.194500000000000E+007;-1.100960943430336E+000;-1.600848149885480E+002;
8.198000000000000E+007;-1.080609431819548E+000;-1.588454342902229E+002;
8.201500000000000E+007;-1.007777795873522E+000;-1.573546399758050E+002;
8.205000000000000E+007;-1.106725000705989E+000;-1.601227442873258E+002;
8.208500000000000E+007;-1.148664092114771E+000;-1.605893733900090E+002;
8.212000000000000E+007;-1.146422389476088E+000;-1.616264590636694E+002;
8.215500000000000E+007;-1.162288336141043E+000;-1.632112012551061E+002;
8.219000000000000E+007;-1.158380741556969E+000;-1.621073379269572E+002;
8.222500000000000E+007;-1.132896966174013E+000;-1.615482308204646E+002;
8.226000000000000E+007;-1.265558455945235E+000;-1.656567416499671E+002;
