# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.100000000000000E+007;-8.474913905793131E-001;-1.450334648003725E+002;
8.103500000000000E+007;-8.400212072269007E-001;-1.452441966378945E+002;
8.107000000000000E+007;-8.784891060429919E-001;-1.452653151018400E+002;
8.110500000000000E+007;-8.608713198593294E-001;-1.466426712311846E+002;
8.114000000000000E+007;-8.383634546034964E-001;-1.459041531531349E+002;
8.117500000000000E+007;-8.434111670846191E-001;-1.443127778635692E+002;
8.121000000000000E+007;-8.550408349646115E-001;-1.475304894043593E+002;
8.124500000000000E+007;-8.272922598834099E-001;-1.470147103850285E+002;
8.128000000000000E+007;-8.417786751605078E-001;-1.475012545637611E+002;
8.131500000000000E+007;-7.903936467101647E-001;-1.460032483500774E+002;
8.135000000000000E+007;-8.834103966604312E-001;-1.472476478115882E+002;
8.138500000000000E+007;-8.467771253909910E-001;-1.472412734174747E+002;
8.142000000000000E+007;-9.557347358953642E-001;-1.489332351138821E+002;
8.145500000000000E+007;-8.441781343877947E-001;-1.474592510676145E+002;
8.149000000000000E+007;-8.322029856182841E-001;-1.477220151244283E+002;
8.152500000000000E+007;-8.730459966227009E-001;-1.489238267155435E+002;
8.156000000000000E+007;-9.216569049051493E-001;-1.495493297617291E+002;
8.159500000000000E+007;-8.818334342992660E-001;-1.492253006005098E+002;
8.163000000000000E+007;-8.461097791323542E-001;-1.487121318277706E+002;
8.166500000000000E+007;-8.939377993828516E-001;-1.495263380139008E+002;
8.170000000000000E+007;-8.267757732133113E-001;-1.480557051855414E+002;
8.173500000000000E+007;-8.572470099130423E-001;-1.501728902345826E+002;
8.177000000000000E+007;-8.665547422749299E-001;-1.501681444492073E+002;
8.180500000000000E+007;-8.197861022947957E-001;-1.494125942783402E+002;
8.184000000000000E+007;-8.578820378334111E-001;-1.508643213845093E+002;
8.187500000000000E+007;-8.776715872176808E-001;-1.508932286683188E+002;
8.191000000000000E+007;-8.856367935924121E-001;-1.516859019279742E+002;
8.194500000000000E+007;-9.144414262226760E-001;-1.528136589589076E+002;
8.198000000000000E+007;-9.178142615026641E-001;-1.529905234677879E+002;
8.201500000000000E+007;-8.963497038196976E-001;-1.529402920752534E+002;
8.205000000000000E+007;-8.978543719628505E-001;-1.531342164559449E+002;
8.208500000000000E+007;-9.196037611428147E-001;-1.528233413770538E+002;
8.212000000000000E+007;-9.087869476435799E-001;-1.535219840039219E+002;
8.215500000000000E+007;-9.085423674025315E-001;-1.536193892147673E+002;
8.219000000000000E+007;-9.453169526193288E-001;-1.541517110797444E+002;
8.222500000000000E+007;-9.261564209088220E-001;-1.543888472862755E+002;
8.226000000000000E+007;-8.936598934119788E-001;-1.536550720959575E+002;
8.229500000000000E+007;-9.165743728920680E-001;-1.548750360996586E+002;
8.233000000000000E+007;-9.758144700040891E-001;-1.561100274248507E+002;
8.236500000000000E+007;-9.727190221138129E-001;-1.556393936987331E+002;
8.240000000000000E+007;-9.713862815326417E-001;-1.561698762732279E+002;
8.243500000000000E+007;-9.523403478422475E-001;-1.557692985670238E+002;
8.247000000000000E+007;-9.923203500154826E-001;-1.585438565641242E+002;
8.250500000000000E+007;-9.776100251106626E-001;-1.581834082191988E+002;
8.254000000000000E+007;-9.758178301746033E-001;-1.569144510578384E+002;
8.257500000000000E+007;-1.005010563145438E+000;-1.591987517955161E+002;
8.261000000000000E+007;-1.007196879955263E+000;-1.583887819500881E+002;
8.264500000000000E+007;-9.554628413195893E-001;-1.581277322438058E+002;
8.268000000000000E+007;-9.375937001316468E-001;-1.574354198896572E+002;
8.271500000000000E+007;-9.975949524474378E-001;-1.595589656569990E+002;
8.275000000000000E+007;-1.013388259805429E+000;-1.605439966442549E+002;
8.278500000000000E+007;-1.047086288548223E+000;-1.607184012656415E+002;
8.282000000000000E+007;-1.005837875934741E+000;-1.598789793646163E+002;
8.285500000000000E+007;-1.022921930871090E+000;-1.605691651520404E+002;
8.289000000000000E+007;-1.012879122844595E+000;-1.606689582039949E+002;
8.292500000000000E+007;-1.032673930462516E+000;-1.618214704388107E+002;
8.296000000000000E+007;-9.995504291746091E-001;-1.609871715876031E+002;
8.299500000000000E+007;-1.108385878587216E+000;-1.626982509633175E+002;
8.303000000000000E+007;-1.051156807161817E+000;-1.621483604347671E+002;
8.306500000000000E+007;-1.070431762487319E+000;-1.627591359644878E+002;
8.310000000000000E+007;-1.170665328475710E+000;-1.649921098209071E+002;
8.313500000000000E+007;-1.097722647888121E+000;-1.633065678023870E+002;
8.317000000000000E+007;-1.145102510146361E+000;-1.644251853249146E+002;
8.320500000000000E+007;-1.180401892694348E+000;-1.661404759750264E+002;
8.324000000000000E+007;-1.206080694448613E+000;-1.666997274002034E+002;
8.327500000000000E+007;-1.179635514664673E+000;-1.656246133115971E+002;
8.331000000000000E+007;-1.139830986205785E+000;-1.659888779021080E+002;
8.334500000000000E+007;-1.182580129730352E+000;-1.666267321404311E+002;
8.338000000000000E+007;-1.189818163788527E+000;-1.669938451850446E+002;
8.341500000000000E+007;-1.253146377059035E+000;-1.674566087215266E+002;
8.345000000000000E+007;-1.291069205468522E+000;-1.694024264806864E+002;
8.348500000000000E+007;-1.369863839349613E+000;-1.712752965562718E+002;
8.352000000000000E+007;-1.317555172624159E+000;-1.691149358823075E+002;
8.355500000000000E+007;-1.325261395973169E+000;-1.702486315294896E+002;
8.359000000000000E+007;-1.346320083920741E+000;-1.702005727307308E+002;
8.362500000000000E+007;-1.378720533678619E+000;-1.712242724043784E+002;
8.366000000000000E+007;-1.489938591605585E+000;-1.748651791746004E+002;
8.369500000000000E+007;-1.449011160420564E+000;-1.733775361116537E+002;
8.373000000000000E+007;-1.514461163459986E+000;-1.741788648027588E+002;
8.376500000000000E+007;-1.540480277786117E+000;-1.753787981461890E+002;
8.380000000000000E+007;-1.602263853888717E+000;-1.767493510824463E+002;
8.383500000000000E+007;-1.613895189836356E+000;-1.751572074582392E+002;
8.387000000000000E+007;-1.692200081375297E+000;-1.788206316717449E+002;
8.390500000000000E+007;-1.734858162958653E+000;-1.794597883512589E+002;
8.394000000000000E+007;-1.826325082631726E+000;1.798704277487677E+002;
8.397500000000000E+007;-1.796180031266463E+000;-1.782215368993849E+002;
8.401000000000000E+007;-1.897587262637635E+000;1.791518195430394E+002;
8.404500000000000E+007;-1.993586790974867E+000;1.776607506947428E+002;
8.408000000000000E+007;-2.058915534809096E+000;1.768305237599128E+002;
8.411500000000000E+007;-2.141322723499943E+000;1.768044894272649E+002;
8.415000000000000E+007;-2.231143571125829E+000;1.750965408083457E+002;
8.418500000000000E+007;-2.389083258436135E+000;1.717408914630734E+002;
8.422000000000000E+007;-2.470002200187885E+000;1.717271638089176E+002;
8.425500000000000E+007;-2.624008692441438E+000;1.707766312953628E+002;
8.429000000000000E+007;-2.742374213066706E+000;1.691811138964966E+002;
8.432500000000000E+007;-2.920892581772539E+000;1.676098719834108E+002;
8.436000000000000E+007;-3.084267656399488E+000;1.662464754005469E+002;
8.439500000000000E+007;-3.296625014458622E+000;1.643876652944241E+002;
8.443000000000000E+007;-3.503910224117975E+000;1.630889536048810E+002;
8.446500000000000E+007;-3.823921062285060E+000;1.613248994433830E+002;
8.450000000000000E+007;-4.155081659665067E+000;1.593739620941870E+002;
8.453500000000000E+007;-4.547710140834280E+000;1.553170962871619E+002;
8.457000000000000E+007;-4.946712357101255E+000;1.529422507002714E+002;
8.460500000000000E+007;-5.363668133272320E+000;1.509237145614020E+002;
8.464000000000000E+007;-5.878017331009939E+000;1.483965918771323E+002;
8.467500000000000E+007;-6.531455241910943E+000;1.468996915413099E+002;
8.471000000000000E+007;-7.290905417353758E+000;1.440607172576613E+002;
8.474500000000000E+007;-8.197766689462473E+000;1.402205537539344E+002;
8.478000000000000E+007;-9.348589238598667E+000;1.365497406402764E+002;
8.481500000000000E+007;-1.058519560639076E+001;1.341029742803072E+002;
8.485000000000000E+007;-1.227514963840972E+001;1.328380394578705E+002;
8.488500000000000E+007;-1.448975816550566E+001;1.307297858323151E+002;
8.492000000000000E+007;-1.770520181182420E+001;1.289929429814098E+002;
8.495500000000000E+007;-2.249292951743447E+001;1.254923641083932E+002;
8.499000000000000E+007;-3.290363702802559E+001;1.549512473182467E+002;
8.502500000000000E+007;-2.670458529850838E+001;-9.126816135022482E+001;
8.506000000000000E+007;-1.962842187102339E+001;-8.446184061312850E+001;
8.509500000000000E+007;-1.601590636367759E+001;-8.547872229147350E+001;
8.513000000000000E+007;-1.328988122198083E+001;-8.789724411357989E+001;
8.516500000000000E+007;-1.148541231720255E+001;-9.052431093972150E+001;
8.520000000000000E+007;-9.941715084296018E+000;-9.219606123158519E+001;
8.523500000000000E+007;-8.615269027897563E+000;-9.469623133269101E+001;
8.527000000000000E+007;-7.849166570142794E+000;-1.004933732022586E+002;
8.530500000000000E+007;-6.898781654112488E+000;-1.012858197492263E+002;
8.534000000000000E+007;-6.211765469361622E+000;-1.028128684385793E+002;
8.537500000000000E+007;-5.649730419470110E+000;-1.073554328911519E+002;
8.541000000000000E+007;-5.109548495813488E+000;-1.090003323395445E+002;
8.544500000000000E+007;-4.761182922201907E+000;-1.130371715876054E+002;
8.548000000000000E+007;-4.316646103695703E+000;-1.132561974509137E+002;
8.551500000000000E+007;-4.018717455626717E+000;-1.158998058845721E+002;
8.555000000000000E+007;-3.713741217944789E+000;-1.165942813492562E+002;
8.558500000000000E+007;-3.446972245362808E+000;-1.188506041054775E+002;
8.562000000000000E+007;-3.220288728040349E+000;-1.202673881198827E+002;
8.565500000000000E+007;-2.991801427475711E+000;-1.229151173851677E+002;
8.569000000000000E+007;-2.869389254906685E+000;-1.255460717074900E+002;
8.572500000000000E+007;-2.723594436014675E+000;-1.260274985332059E+002;
8.576000000000000E+007;-2.532745041048317E+000;-1.276674245399256E+002;
8.579500000000000E+007;-2.366347149284214E+000;-1.277049974002740E+002;
