# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-7.951172592011119E-001;-1.517243472478652E+002;
8.004500000000000E+007;-6.817596232605873E-001;-1.492225218403289E+002;
8.009000000000000E+007;-7.560106481784619E-001;-1.504390522711948E+002;
8.013500000000000E+007;-7.665520821469194E-001;-1.511622297285063E+002;
8.018000000000000E+007;-7.689365494640222E-001;-1.526211364724235E+002;
8.022500000000000E+007;-7.614177801698827E-001;-1.522348123950413E+002;
8.027000000000000E+007;-7.771087450132410E-001;-1.522343660346209E+002;
8.031500000000000E+007;-8.318151988832938E-001;-1.541203024859692E+002;
8.036000000000000E+007;-7.680801478255225E-001;-1.534976274423713E+002;
8.040500000000000E+007;-7.674642533125817E-001;-1.539471596385617E+002;
8.045000000000000E+007;-8.394152367974406E-001;-1.547363223786500E+002;
8.049500000000000E+007;-8.194660442373197E-001;-1.541935714851531E+002;
8.054000000000000E+007;-8.340628085070729E-001;-1.562008569086193E+002;
8.058500000000000E+007;-8.754113608324208E-001;-1.573538194156150E+002;
8.063000000000000E+007;-8.287046735262238E-001;-1.557692018175751E+002;
8.067500000000000E+007;-8.580799579206140E-001;-1.573928929789872E+002;
8.072000000000000E+007;-8.272210069891475E-001;-1.569715976637407E+002;
8.076500000000000E+007;-7.900584346806506E-001;-1.556068982218171E+002;
8.081000000000000E+007;-8.062847323856802E-001;-1.571109072709328E+002;
8.085500000000000E+007;-8.095552496945975E-001;-1.579576330627187E+002;
8.090000000000000E+007;-8.508353055414741E-001;-1.584877914261428E+002;
8.094500000000000E+007;-7.978259628594422E-001;-1.575571890926389E+002;
8.099000000000000E+007;-9.444702268883136E-001;-1.609484334199373E+002;
8.103500000000000E+007;-8.853519326696907E-001;-1.601681675508062E+002;
8.108000000000000E+007;-8.765222032774043E-001;-1.606996052946329E+002;
8.112500000000000E+007;-8.397790255631737E-001;-1.597419222633280E+002;
8.117000000000000E+007;-8.721457356157776E-001;-1.605614271102292E+002;
8.121500000000000E+007;-9.201306261892108E-001;-1.630572655209970E+002;
8.126000000000000E+007;-9.522558743642783E-001;-1.631002517500478E+002;
8.130500000000000E+007;-9.397182387659465E-001;-1.625218366755179E+002;
8.135000000000000E+007;-9.614163448276871E-001;-1.631352313555125E+002;
8.139500000000000E+007;-9.305757390331401E-001;-1.630949285509379E+002;
8.144000000000000E+007;-1.020969737415963E+000;-1.656134797946906E+002;
8.148500000000000E+007;-9.882925933593976E-001;-1.646148028279343E+002;
8.153000000000000E+007;-1.067146586175325E+000;-1.672032655678939E+002;
8.157500000000000E+007;-1.132247501261968E+000;-1.684405287504310E+002;
8.162000000000000E+007;-1.100352955354098E+000;-1.676586274349366E+002;
8.166500000000000E+007;-1.130997905459876E+000;-1.688799717514219E+002;
8.171000000000000E+007;-1.115944642368411E+000;-1.689159763037656E+002;
8.175500000000000E+007;-1.141619537806373E+000;-1.686726144638064E+002;
8.180000000000000E+007;-1.186392052755084E+000;-1.710393583421223E+002;
8.184500000000000E+007;-1.261823333974752E+000;-1.725464443239806E+002;
8.189000000000000E+007;-1.294091588239350E+000;-1.727621724221662E+002;
8.193500000000000E+007;-1.297580202511684E+000;-1.727257623032850E+002;
8.198000000000000E+007;-1.372802244265052E+000;-1.743983962531377E+002;
8.202500000000000E+007;-1.425723917278897E+000;-1.741827870221267E+002;
8.207000000000000E+007;-1.472373317457524E+000;-1.764309784841296E+002;
8.211500000000000E+007;-1.508921505929481E+000;-1.770167150691040E+002;
8.216000000000000E+007;-1.633623801663962E+000;-1.790248740214740E+002;
8.220500000000000E+007;-1.722540397059432E+000;1.790335693316042E+002;
8.225000000000000E+007;-1.756676925036068E+000;1.788484006347271E+002;
8.229500000000000E+007;-1.857701826368383E+000;1.786259576226503E+002;
8.234000000000000E+007;-1.972719728262090E+000;1.759926493104702E+002;
8.238500000000000E+007;-2.128196229045142E+000;1.746394655109221E+002;
8.243000000000000E+007;-2.249143310781235E+000;1.729677492352415E+002;
8.247500000000000E+007;-2.429563139951912E+000;1.708254774907870E+002;
8.252000000000000E+007;-2.619523335993349E+000;1.690748662616802E+002;
8.256500000000000E+007;-2.832438682332421E+000;1.667149405648919E+002;
8.261000000000000E+007;-3.044568778432824E+000;1.654448134875849E+002;
8.265500000000000E+007;-3.360055488864744E+000;1.624745931773266E+002;
8.270000000000000E+007;-3.660030516381278E+000;1.600093862525330E+002;
8.274500000000000E+007;-4.141124039493868E+000;1.579784649112609E+002;
8.279000000000000E+007;-4.621063351771448E+000;1.530715765197346E+002;
8.283500000000000E+007;-5.243556708763801E+000;1.513639700443352E+002;
8.288000000000000E+007;-5.923050689242349E+000;1.486197061133478E+002;
8.292500000000000E+007;-6.856044459066083E+000;1.452045115466812E+002;
8.297000000000000E+007;-8.035088104663291E+000;1.397713693887663E+002;
8.301500000000000E+007;-9.417291310391851E+000;1.374596355156427E+002;
8.306000000000000E+007;-1.121622893969719E+001;1.324387037104347E+002;
8.310500000000000E+007;-1.386786491899402E+001;1.318582727893406E+002;
8.315000000000000E+007;-1.830928219812454E+001;1.295838321710760E+002;
8.319500000000000E+007;-2.625110794467661E+001;1.380173849706569E+002;
8.324000000000000E+007;-2.812581614256948E+001;-1.015588847868229E+002;
8.328500000000000E+007;-1.892278068179516E+001;-8.591566673582334E+001;
8.333000000000000E+007;-1.461666830714066E+001;-8.683084934091868E+001;
8.337500000000000E+007;-1.166816162720945E+001;-8.972200471187665E+001;
8.342000000000000E+007;-9.656280843783771E+000;-9.324285523259272E+001;
8.346500000000000E+007;-8.188100065505607E+000;-9.933996080016374E+001;
8.351000000000000E+007;-6.919881220645325E+000;-9.952086871348870E+001;
8.355500000000000E+007;-6.129831953498947E+000;-1.047742314748171E+002;
8.360000000000000E+007;-5.319946777065558E+000;-1.071530307939419E+002;
8.364500000000000E+007;-4.669266804381898E+000;-1.099221868498473E+002;
8.369000000000000E+007;-4.183685137179355E+000;-1.133471075601430E+002;
8.373500000000000E+007;-3.774569843040593E+000;-1.178592955424651E+002;
8.378000000000000E+007;-3.498098643735981E+000;-1.201927005093332E+002;
8.382500000000000E+007;-3.149306597845828E+000;-1.221362542307001E+002;
8.387000000000000E+007;-2.872287497343072E+000;-1.248721478175257E+002;
8.391500000000000E+007;-2.641270213498472E+000;-1.257550492973441E+002;
8.396000000000000E+007;-2.388730013222781E+000;-1.271108456799310E+002;
8.400500000000000E+007;-2.375381890307253E+000;-1.318966027026074E+002;
8.405000000000000E+007;-2.167473732619502E+000;-1.313976819824442E+002;
8.409500000000000E+007;-2.066355125413665E+000;-1.349396931571913E+002;
8.414000000000000E+007;-1.850096848094096E+000;-1.331115403597549E+002;
8.418500000000000E+007;-1.791745785165792E+000;-1.361364075839852E+002;
8.423000000000000E+007;-1.682628398388366E+000;-1.359394112279656E+002;
8.427500000000000E+007;-1.602433914485036E+000;-1.365414851980086E+002;
8.432000000000000E+007;-1.585245541238420E+000;-1.400004752933941E+002;
8.436500000000000E+007;-1.447942833134498E+000;-1.394375730105354E+002;
8.441000000000000E+007;-1.426174994916279E+000;-1.405693095164675E+002;
8.445500000000000E+007;-1.345020625008473E+000;-1.410148431609747E+002;
8.450000000000000E+007;-1.335030015040483E+000;-1.428905127497434E+002;
8.454500000000000E+007;-1.314286542746379E+000;-1.441038985402676E+002;
8.459000000000000E+007;-1.274011412967699E+000;-1.450769743065141E+002;
8.463500000000000E+007;-1.240359492083812E+000;-1.459478150559810E+002;
8.468000000000000E+007;-1.203087158110183E+000;-1.463670204727274E+002;
8.472500000000000E+007;-1.174933976956292E+000;-1.472315215442779E+002;
8.477000000000000E+007;-1.118528705883228E+000;-1.473470671080256E+002;
8.481500000000000E+007;-1.106239802961983E+000;-1.482089494045223E+002;
8.486000000000000E+007;-1.075933706664478E+000;-1.495646786476376E+002;
8.490500000000000E+007;-1.052800609642646E+000;-1.498435428665213E+002;
8.495000000000000E+007;-1.005016784936050E+000;-1.505864204475850E+002;
8.499500000000000E+007;-1.041638843584153E+000;-1.521912801230876E+002;
8.504000000000000E+007;-1.047091256434980E+000;-1.526456314703443E+002;
8.508500000000000E+007;-9.901667861265714E-001;-1.522962130491562E+002;
8.513000000000000E+007;-9.495933094981265E-001;-1.523412934516591E+002;
8.517500000000000E+007;-9.571125538592826E-001;-1.536111491752230E+002;
8.522000000000000E+007;-9.458422330368659E-001;-1.546284562097804E+002;
8.526500000000000E+007;-9.471307350369363E-001;-1.548043363228756E+002;
8.531000000000000E+007;-9.757596851066920E-001;-1.567638234141273E+002;
8.535500000000000E+007;-9.006144491977624E-001;-1.553111194110568E+002;
8.540000000000000E+007;-9.477533049931127E-001;-1.574121031234307E+002;
8.544500000000000E+007;-9.229207529909550E-001;-1.572456986510580E+002;
8.549000000000000E+007;-8.614032056745363E-001;-1.570267027700553E+002;
8.553500000000000E+007;-8.862943466373218E-001;-1.585249631714438E+002;
8.558000000000000E+007;-9.412680411068209E-001;-1.597302228068965E+002;
8.562500000000000E+007;-8.884815745850548E-001;-1.583746893079474E+002;
8.567000000000000E+007;-8.441149138858677E-001;-1.591240149814645E+002;
8.571500000000000E+007;-8.593543262714557E-001;-1.591342842906948E+002;
8.576000000000000E+007;-8.860973246603927E-001;-1.610091269276877E+002;
8.580500000000000E+007;-8.368037352396639E-001;-1.604992343733239E+002;
8.585000000000000E+007;-8.705718420903973E-001;-1.612655291809345E+002;
8.589500000000000E+007;-8.381432650299642E-001;-1.620483414128634E+002;
8.594000000000000E+007;-8.437028405402178E-001;-1.614149919113390E+002;
8.598500000000000E+007;-8.360874537674787E-001;-1.617268578130545E+002;
8.603000000000000E+007;-8.603834571612292E-001;-1.625831944173066E+002;
8.607500000000000E+007;-8.284075965403466E-001;-1.627960062643857E+002;
8.612000000000000E+007;-8.362097802768556E-001;-1.639077440047986E+002;
8.616500000000000E+007;-7.689906702577339E-001;-1.619186919980056E+002;
8.621000000000000E+007;-7.508172705408358E-001;-1.619754875871882E+002;
8.625500000000000E+007;-7.562604912371731E-001;-1.636863832126612E+002;
8.630000000000000E+007;-8.057184818455379E-001;-1.655206780576992E+002;
8.634500000000000E+007;-7.635917291770376E-001;-1.637391953469968E+002;
8.639000000000000E+007;-7.889666360434589E-001;-1.659024078340549E+002;
8.643500000000000E+007;-7.616278727520345E-001;-1.648675481725167E+002;
8.648000000000000E+007;-7.790588980335669E-001;-1.651471650531437E+002;
8.652500000000000E+007;-8.098680683156648E-001;-1.663107597851133E+002;
8.657000000000000E+007;-7.699593993234390E-001;-1.666112240345673E+002;
8.661500000000000E+007;-7.696542822887856E-001;-1.667533289700462E+002;
8.666000000000000E+007;-7.995443033571973E-001;-1.674193835447387E+002;
8.670500000000000E+007;-7.273740389461826E-001;-1.670657793975387E+002;
8.675000000000000E+007;-7.665545211030794E-001;-1.670111300603873E+002;
8.679500000000000E+007;-7.194742715049804E-001;-1.675128622584792E+002;
8.684000000000000E+007;-7.745813467076618E-001;-1.682893038498160E+002;
8.688500000000000E+007;-7.346933286678256E-001;-1.688190597420177E+002;
8.693000000000000E+007;-7.549754106500747E-001;-1.687819460368460E+002;
8.697500000000000E+007;-7.977727819767256E-001;-1.704866283600507E+002;
8.702000000000000E+007;-7.215074264241822E-001;-1.691488399990327E+002;
8.706500000000000E+007;-8.069771611498799E-001;-1.718142651890555E+002;
8.711000000000000E+007;-7.315678102985760E-001;-1.700325647432339E+002;
8.715500000000000E+007;-7.521322143620802E-001;-1.706182953281842E+002;
8.720000000000000E+007;-7.242004900703394E-001;-1.708409103064875E+002;
8.724500000000000E+007;-7.552428066601542E-001;-1.713419765479717E+002;
8.729000000000000E+007;-7.018436657998010E-001;-1.709181832990848E+002;
8.733500000000000E+007;-7.416379931725735E-001;-1.716106894950487E+002;
8.738000000000000E+007;-7.500976394227977E-001;-1.729378903063453E+002;
8.742500000000000E+007;-7.717859679330025E-001;-1.744771366537261E+002;
8.747000000000000E+007;-7.613717637102161E-001;-1.734414739223795E+002;
8.751500000000000E+007;-7.301751800759978E-001;-1.733067158837151E+002;
8.756000000000000E+007;-7.167188832117110E-001;-1.727917637862841E+002;
8.760500000000000E+007;-7.467790834585573E-001;-1.752451926909860E+002;
8.765000000000000E+007;-7.036446174282924E-001;-1.739216016951716E+002;
8.769500000000000E+007;-7.489045815700900E-001;-1.753450781723889E+002;
8.774000000000000E+007;-7.025738871583518E-001;-1.740500789083604E+002;
8.778500000000000E+007;-7.423222697891642E-001;-1.754013512804770E+002;
8.783000000000000E+007;-7.642942733382998E-001;-1.768334360801476E+002;
8.787500000000000E+007;-7.648466027433964E-001;-1.766979567446861E+002;
8.792000000000000E+007;-7.073071121662286E-001;-1.757978090504778E+002;
8.796500000000000E+007;-7.021011568571132E-001;-1.756023017132785E+002;
8.801000000000000E+007;-6.997781848520192E-001;-1.757421568314350E+002;
8.805500000000000E+007;-7.639322583629296E-001;-1.779334810000834E+002;
8.810000000000000E+007;-7.281862297353176E-001;-1.775275815716356E+002;
8.814500000000000E+007;-7.588613597974034E-001;-1.782712577662415E+002;
8.819000000000000E+007;-7.012224330150956E-001;-1.774772571336882E+002;
8.823500000000000E+007;-7.137130328378024E-001;-1.780751528272173E+002;
8.828000000000000E+007;-7.112537221301468E-001;-1.777279785991558E+002;
8.832500000000000E+007;-7.185586185736870E-001;-1.788085789235836E+002;
8.837000000000000E+007;-7.325639017015793E-001;-1.792278820299247E+002;
8.841500000000000E+007;-6.683791223780313E-001;-1.778999218942561E+002;
8.846000000000000E+007;-6.767071342182173E-001;-1.781128495286491E+002;
8.850500000000000E+007;-7.153849073380791E-001;-1.798533606755987E+002;
8.855000000000000E+007;-7.408546693129378E-001;1.790882739711834E+002;
8.859500000000000E+007;-7.257783864380850E-001;-1.795972058999482E+002;
8.864000000000000E+007;-7.095963410897804E-001;1.794575349320619E+002;
8.868500000000000E+007;-6.915019513873905E-001;-1.792330655690625E+002;
8.873000000000000E+007;-7.061073312035675E-001;1.783961235035205E+002;
8.877500000000000E+007;-7.518363915500086E-001;1.775774311108418E+002;
8.882000000000000E+007;-6.929794765962248E-001;1.793348985878960E+002;
8.886500000000000E+007;-7.040661880354810E-001;1.773933430832701E+002;
8.891000000000000E+007;-6.798184188828967E-001;1.787022617941604E+002;
8.895500000000000E+007;-7.076892129859416E-001;1.771014957282993E+002;
8.900000000000000E+007;-7.169793190574754E-001;1.783330262402241E+002;
