# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-6.831631664749754E-001;-1.415330250297368E+002;
8.004500000000000E+007;-6.854874071502760E-001;-1.427004635129700E+002;
8.009000000000000E+007;-7.540590855864847E-001;-1.447992666429264E+002;
8.013500000000000E+007;-6.772948165771209E-001;-1.432310645226158E+002;
8.018000000000000E+007;-7.207813472613317E-001;-1.444412675526743E+002;
8.022500000000000E+007;-6.886864121872456E-001;-1.442830633057404E+002;
8.027000000000000E+007;-6.378598286491446E-001;-1.435329391832155E+002;
8.031500000000000E+007;-6.786445853039740E-001;-1.434371985054612E+002;
8.036000000000000E+007;-6.818176949467883E-001;-1.451974820032511E+002;
8.040500000000000E+007;-6.766803008186466E-001;-1.444287883306919E+002;
8.045000000000000E+007;-7.355785702805053E-001;-1.462201966534886E+002;
8.049500000000000E+007;-6.204353365801706E-001;-1.445888542491911E+002;
8.054000000000000E+007;-6.470965591228888E-001;-1.445033433906605E+002;
8.058500000000000E+007;-7.087403666414159E-001;-1.461974689635870E+002;
8.063000000000000E+007;-7.068839829881415E-001;-1.473189137749331E+002;
8.067500000000000E+007;-6.878576122679181E-001;-1.457475504280951E+002;
8.072000000000000E+007;-6.841642675814103E-001;-1.459739419330379E+002;
8.076500000000000E+007;-7.401563886082146E-001;-1.488066705283811E+002;
8.081000000000000E+007;-6.876985282880764E-001;-1.477972886849982E+002;
8.085500000000000E+007;-7.039384474052183E-001;-1.473724897176421E+002;
8.090000000000000E+007;-7.431888692660599E-001;-1.491835215638422E+002;
8.094500000000000E+007;-6.833707008948728E-001;-1.479839282471127E+002;
8.099000000000000E+007;-7.367910023363011E-001;-1.504533091347938E+002;
8.103500000000000E+007;-6.700909016033568E-001;-1.482388630170654E+002;
8.108000000000000E+007;-7.139264903666623E-001;-1.495899184962671E+002;
8.112500000000000E+007;-6.599351106231790E-001;-1.482304252457011E+002;
8.117000000000000E+007;-7.537692308022632E-001;-1.513755430828817E+002;
8.121500000000000E+007;-6.973932821897090E-001;-1.508304577053697E+002;
8.126000000000000E+007;-7.079581886677404E-001;-1.502573632701705E+002;
8.130500000000000E+007;-7.014386530359545E-001;-1.504301891760463E+002;
8.135000000000000E+007;-7.309913288323937E-001;-1.517822446750880E+002;
8.139500000000000E+007;-7.445556756283633E-001;-1.525486854230301E+002;
8.144000000000000E+007;-6.532178435137989E-001;-1.506654499433126E+002;
8.148500000000000E+007;-7.370353079202042E-001;-1.535479522240732E+002;
8.153000000000000E+007;-7.202252759397153E-001;-1.527809517718666E+002;
8.157500000000000E+007;-7.211505481630350E-001;-1.525589675252015E+002;
8.162000000000000E+007;-7.364415054236013E-001;-1.535165140914524E+002;
8.166500000000000E+007;-7.599324676946602E-001;-1.545149818090023E+002;
8.171000000000000E+007;-6.759084961449791E-001;-1.532077239196869E+002;
8.175500000000000E+007;-7.610236908076198E-001;-1.548499014242323E+002;
8.180000000000000E+007;-6.604779026350948E-001;-1.541180611453568E+002;
8.184500000000000E+007;-7.183473402931473E-001;-1.552947091409725E+002;
8.189000000000000E+007;-7.644841914917603E-001;-1.563169742728205E+002;
8.193500000000000E+007;-7.358306913617797E-001;-1.552027727411466E+002;
8.198000000000000E+007;-7.752099067549731E-001;-1.560676721002374E+002;
8.202500000000000E+007;-7.670395378207073E-001;-1.569241784722889E+002;
8.207000000000000E+007;-6.723414769390776E-001;-1.542429066160179E+002;
8.211500000000000E+007;-7.182282042889014E-001;-1.560483459694707E+002;
8.216000000000000E+007;-7.616836099786718E-001;-1.577174634444099E+002;
8.220500000000000E+007;-7.651664162521358E-001;-1.578541511918872E+002;
8.225000000000000E+007;-7.769278391173543E-001;-1.579753771599539E+002;
8.229500000000000E+007;-7.492001293004650E-001;-1.575851230176380E+002;
8.234000000000000E+007;-7.539624753804262E-001;-1.577177574311730E+002;
8.238500000000000E+007;-7.730090113493195E-001;-1.597018986388908E+002;
8.243000000000000E+007;-7.583385669320163E-001;-1.593400645236297E+002;
8.247500000000000E+007;-7.479987248335537E-001;-1.591172868355863E+002;
